Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Sektor,Sistem Penjualan,Tingkat Pesaing Usaha,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit,Sasaran Produk
Air Tebu,5.0,48.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,5.0,4.0,4.0,1.0
Amplang Blitar,71.5,60.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,10.0,200.0,3.0,2.0
Bandrek,0.0,0.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,0.0,0.0,5.0,6.0,7.0,1.0
Bengkoang,13.0,402.0,12,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.02,8.0,10.0,5.0,3.0
Beras Dan Sayuran,89.0,600.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,10.0,24.0,4.0,1.0
Berdagang Ikan,30.0,148.75,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.15,,25.0,3.0,1.0
BIBIT KOPI,153.0,160.0,1,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,1.0,10.0,150.0,7.0,2.0
Bibit Lele,99.0,43.2,1,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.15,5.0,50.0,2.0,1.0
Bibit Pepaya,47.0,117.0,2,"Pertanian, Kehutanan, dan Perikanan",2.0,0.0,0.2,10.0,15.0,3.0,1.0
Bibit Tanaman,395.0,250.0,10,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.65,10.0,113.0,5.0,2.0
Budidaya Ayam Siam,9.0,13.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.4,3.0,0.0,3.0,1.0
Budidaya Ikan,873.0,26.0,13,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.2,0.0,800.0,8.0,2.0
Budidaya Ikan Gurame,20.0,250.0,0,"Pertanian, Kehutanan, dan Perikanan",1.0,0.0,0.1,8.0,50.0,4.0,1.0
Budidaya Ikan Lele,7.45,17.78,1,"Pertanian, Kehutanan, dan Perikanan",3.0,0.0,0.12,10.0,12.0,3.0,2.0
Budidaya Ikan Nila Merah,1.17,9.51,4,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.05,7.0,85.0,6.0,2.0
Budidaya Ikan Nila Merah,1.01,9.51,4,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.15,0.0,66.0,5.0,1.0
Budidaya Jamur,56.0,135.6,5,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.25,0.0,52.0,6.0,2.0
Budidaya Jamur Merang,16.25,33.6,1,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.5,0.0,110.0,7.0,2.0
Budidaya Jamur Tiram,8.04,15.12,0,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.75,,36.0,5.0,1.0
Budidaya Lembu,23.0,340.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.3,5.0,10.0,4.0,1.0
Bunga,25.9,100.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,5.0,14.0,5.0,1.0
DAGANG IKAN,75.5,36.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,5.0,75.0,5.0,2.0
Depot Air,0.0,0.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.0,10.0,12.0,8.0,1.0
FLOWER,110.0,280.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,0.0,0.0,3.0,0.0
Giling Bumbu,17.0,200.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.15,5.0,0.0,3.0,1.0
HORTIKULTURA,1.492,360.0,7,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.7,0.0,940.0,8.0,3.0
Ikan Mas,98.0,43.5,2,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.1,6.0,50.0,3.0,1.0
JAGUNG,5.3,68.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,10.0,5.0,2.0,1.0
Jamur Tiram,14.47,16.2,4,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,0.0,11.0,5.0,1.0
Jamur Tiram Putih,72.0,49.0,5,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.15,10.0,12.0,7.0,2.0
"Jelly "" Lidah Buaya """,122.81,69.12,3,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.15,10.0,0.0,,2.0
JUAL AYAM BANGKOK,26.0,51.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,9.0,20.0,3.0,1.0
JUAL BELI KOMODITI HASIL BUMI ,214.0,3.432,7,"Pertanian, Kehutanan, dan Perikanan",3.0,0.0,0.5,0.0,107.0,7.0,0.0
Jual Ikan,26.3,82.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,0.0,0.1,10.0,20.0,4.0,2.0
JUAL SAPI,91.0,196.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,0.0,65.0,3.0,2.0
Jualan Ikan,10.0,22.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,5.0,7.0,4.0,1.0
Kambing,43.0,24.0,20,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,5.0,100.0,3.0,1.0
Kambing & Ayam,77.0,64.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,1.0,5.0,60.0,3.0,2.0
KARTON,5.0,30.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.3,5.0,75.0,4.0,1.0
Kayu Gelondongan,191.0,226.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.25,0.0,60.0,7.0,2.0
Kebun,201.7,3.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.7,10.0,250.0,5.0,1.0
KEBUN KOPI,21.02,5.2,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.4,5.0,210.0,3.0,2.0
KEBUN NENAS,9.1,1.28,6,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,5.0,80.0,5.0,2.0
Kebun Sawit,75.0,26.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,10.0,90.0,4.0,1.0
KEBUN TEBU,23.0,420.0,5,"Pertanian, Kehutanan, dan Perikanan",1.0,0.0,1.0,6.0,106.0,8.0,2.0
Kelapa,11.0,148.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.3,3.0,9.0,4.0,1.0
KERAMBA,9.0,144.0,1,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.8,5.0,150.0,5.0,1.0
KERAMBA,10.0,120.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.4,5.0,50.0,4.0,1.0
KERAMBA,16.0,120.0,1,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.7,5.0,0.0,4.0,1.0
KERAMBAH APUNG,100.0,20.4,1,"Pertanian, Kehutanan, dan Perikanan",1.0,0.0,0.1,10.0,100.0,2.0,2.0
Kolam Ikan,156.0,78.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,4.0,156.0,10.0,1.0
Kolam Mujaer Dotamana,0.0,0.0,4,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.0,10.0,100.0,6.0,2.0
"KOPI,KOL,SENGON",200.6,60.0,3,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.1,10.0,350.0,4.0,2.0
Koprah,20.5,86.4,5,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.3,10.0,25.0,5.0,1.0
Kpetani Karet,51.0,26.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.2,0.0,50.0,2.0,2.0
Krecek Krupuk,275.28,102.4,12,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.1,10.0,130.0,5.0,1.0
Lembu,51.0,300.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.3,10.0,0.0,3.0,2.0
,0.0,0.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.0,10.0,200.0,5.0,1.0
Nelayan,91.0,24.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.2,2.0,90.0,4.0,2.0
Nelayan,47.0,48.0,2,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.2,10.0,45.0,4.0,1.0
Nelayan,32.0,62.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.2,3.0,35.0,1.0,1.0
Nelayan,37.0,46.0,1,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.2,2.0,35.0,4.0,1.0
Nelayan,162.0,285.0,28,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.3,0.0,305.0,7.0,1.0
NELAYAN,35.0,124.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,5.0,34.0,5.0,1.0
NELAYAN,34.0,124.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,5.0,33.0,6.0,1.0
NELAYAN,135.0,80.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.2,10.0,129.0,7.0,1.0
Nelayan Ikan,111.0,28.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,0.0,0.2,5.0,110.0,3.0,1.0
Nelayan Pukat,71.0,50.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,10.0,70.0,4.0,2.0
PADI,70.0,192.0,6,"Pertanian, Kehutanan, dan Perikanan",2.0,2.0,0.05,0.0,50.0,6.0,0.0
Pakan Ternak,9.0,84.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,10.0,9.0,3.0,1.0
Pakan Ternak,135.7,456.0,5,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,10.0,0.0,,1.0
"Pakan Ternak, Puyuh, Ayam Dan Itik",2213.0,48.0,3,"Pertanian, Kehutanan, dan Perikanan",2.0,2.0,0.3,10.0,0.0,7.0,2.0
Pedagang,10.0,133.75,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,10.0,0.0,4.0,2.0
Pedagang Ikan,12.5,148.75,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.15,,13.0,5.0,1.0
Pembesaran Ikan Nila,3.368,7.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.2,5.0,18.0,6.0,2.0
Pembesaran Ikan Nila,2.361,7.2,1,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.25,5.0,16.0,1.0,2.0
Pembesaran Lele,1.03,1.452,1,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.49,10.0,15.0,5.0,1.0
Pembesaran Nila,2.679,4.955,1,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.27,10.0,15.0,5.0,1.0
Pembibitan Anggrek,44.55,240.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,10.0,0.0,1.0,1.0
Pembibitan Ikan,428.0,4.596,3,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.4,10.0,10.0,5.0,2.0
Pembibitan Nila,3.798,7.92,2,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.2,10.0,115.0,5.0,2.0
Pembibitan Pepaya,53.3,6.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,0.0,0.05,5.0,5.0,3.0,2.0
Pembuatan Keramik,580.0,1.98,1,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.15,4.0,31.0,4.0,1.0
Pembuatan Keramik,940.0,3.54,2,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.1,1.0,53.0,5.0,2.0
PENANGKAR BIBIT KARET,34.0,13.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.2,6.0,15.0,6.0,1.0
Penetasan Telur Bebek,60.3,57.96,1,"Pertanian, Kehutanan, dan Perikanan",2.0,2.0,0.4,10.0,54.0,6.0,2.0
PENGASINAN IKAN,6.0,126.0,7,"Pertanian, Kehutanan, dan Perikanan",3.0,0.0,0.1,5.0,12.0,6.0,2.0
PENGASINAN IKAN,5.0,90.0,8,"Pertanian, Kehutanan, dan Perikanan",3.0,0.0,0.05,10.0,50.0,7.0,2.0
Pengeringan Ikan,3.5,48.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,10.0,8.0,6.0,1.0
Pengiriman Kambing,83.3,33.25,13,"Pertanian, Kehutanan, dan Perikanan",2.0,2.0,0.3,0.0,50.0,7.0,2.0
PENGUMPUL SAWIT,279.0,2.117,4,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,0.0,150.0,7.0,3.0
Penjualan ,98.0,445.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,0.0,75.0,5.0,2.0
Penyembelihan Sapi,685.0,4.0,4,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.0,0.0,0.0,,1.0
Pepaya,19.0,314.0,5,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.1,10.0,15.0,5.0,2.0
Perdagangan,8.0,133.75,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,10.0,0.0,4.0,0.0
Perdagangan Ikan,87.0,317.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.3,10.0,50.0,7.0,2.0
PERIKANAN,117.0,26.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,10.0,90.0,5.0,1.0
PERIKANAN,54.0,72.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.05,5.0,48.0,5.0,1.0
PERIKANAN,68.0,0.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.05,5.0,60.0,3.0,1.0
Perikanan,29.0,19.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.2,5.0,26.0,6.0,1.0
PERKEBUNAN,75.0,27.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.05,5.0,70.0,5.0,1.0
PERKEBUNAN,132.0,36.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.15,5.0,110.0,5.0,1.0
PERKEBUNAN,32.0,20.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,0.0,0.05,10.0,70.0,5.0,3.0
PERKEBUNAN,82.0,7.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.05,5.0,28.0,5.0,1.0
PERTANIAN,118.0,30.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,5.0,100.0,5.0,3.0
PERTANIAN,10.85,260.0,1,"Pertanian, Kehutanan, dan Perikanan",2.0,2.0,0.1,10.0,108.0,5.0,3.0
PERTANIAN ,67.0,16.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.2,5.0,60.0,5.0,1.0
Pertanian Sawah,64.0,27.0,5,"Pertanian, Kehutanan, dan Perikanan",1.0,0.0,0.1,10.0,45.0,3.0,1.0
Pertanian Sayuran,5.0,1.0,3,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.05,10.0,75.0,5.0,1.0
Pertanian Sayuran,652.0,7.0,2,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.05,5.0,9.0,4.0,1.0
Pertanian Sayuran,501.0,14.0,3,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.1,2.0,0.0,5.0,1.0
PETANI,188.0,9.0,5,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.05,5.0,80.0,6.0,1.0
PETANI,27.0,11.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,5.0,15.0,4.0,1.0
Petani Coklat,160.0,65.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,10.0,108.0,4.0,1.0
Petani Karet,88.0,15.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.2,4.0,87.0,5.0,2.0
Petani Karet,182.0,36.0,2,"Pertanian, Kehutanan, dan Perikanan",2.0,2.0,0.2,5.0,180.0,4.0,2.0
Petani Karet,111.0,18.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.2,3.0,110.0,4.0,2.0
Petani Karet,32.0,20.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.2,5.0,30.0,3.0,2.0
Petani Karet,101.0,15.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,10.0,100.0,3.0,1.0
Petani Karet,201.0,20.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,0.0,200.0,2.0,1.0
Petani Karet,151.0,24.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.2,5.0,150.0,2.0,2.0
Petani Karet,51.0,15.0,2,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.2,10.0,50.0,3.0,2.0
Petani Karet,259.0,26.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.2,10.0,208.0,5.0,2.0
Petani Karet,101.0,15.0,2,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.2,2.0,100.0,3.0,2.0
Petani Karet,302.0,40.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.2,10.0,300.0,3.0,1.0
Petani Karet,106.0,35.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.3,0.0,20.0,1.0,2.0
Petani Karet,52.0,19.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,5.0,25.0,1.0,2.0
Petani Karet,80.0,22.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.2,2.0,30.0,2.0,2.0
Petani Karet,89.0,44.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.2,10.0,26.0,4.0,1.0
Petani Karet,64.0,42.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.3,5.0,56.0,3.0,1.0
Petani Karet,189.0,36.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.2,10.0,188.0,5.0,2.0
Petani Karet ,79.0,24.0,2,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.2,5.0,30.0,2.0,2.0
Petani Karet ,105.0,18.0,4,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.2,5.0,25.0,2.0,2.0
PETANI KOPI,82.2,20.0,5,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,0.0,90.0,5.0,2.0
Petani Padai ,89.0,40.0,4,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,10.0,100.0,4.0,1.0
Petani Padi,62.0,15.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,4.0,60.0,3.0,2.0
Petani Padi,71.0,20.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.2,10.0,69.0,3.0,2.0
Petani Padi,66.0,65.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.2,10.0,60.0,3.0,2.0
Petani Padi,50.0,15.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,5.0,48.0,4.0,2.0
Petani Padi,101.0,16.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,10.0,100.0,1.0,1.0
Petani Padi,156.0,75.0,15,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,6.0,158.0,5.0,1.0
Petani Padi,66.0,20.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,5.0,65.0,1.0,1.0
Petani Padi,262.0,24.0,5,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,5.0,250.0,5.0,1.0
Petani Padi,367.0,85.0,10,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,10.0,350.0,5.0,1.0
Petani Padi,552.0,45.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,0.0,400.0,5.0,1.0
Petani Padi,201.0,36.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,10.0,100.0,3.0,1.0
Petani Padi,203.0,108.0,2,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.2,6.0,200.0,3.0,1.0
Petani Padi,203.0,42.0,5,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.2,6.0,200.0,3.0,1.0
Petani Padi,60.0,20.0,2,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.2,8.0,58.0,4.0,1.0
Petani Padi,201.0,15.0,2,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.2,8.0,200.0,4.0,1.0
Petani Padi,61.0,16.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.2,6.0,60.0,4.0,1.0
Petani Padi,33.0,20.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.2,2.0,36.0,3.0,1.0
Petani Padi,35.0,54.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.2,2.0,0.0,2.0,1.0
PETANI PADI,123.0,60.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.5,10.0,20.0,5.0,1.0
PETANI SAWIT,63.0,18.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.5,10.0,20.0,5.0,2.0
Peternak Babi,62.0,78.0,2,"Pertanian, Kehutanan, dan Perikanan",2.0,2.0,0.2,10.0,60.0,4.0,2.0
Peternak Babi,112.0,60.0,4,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,5.0,108.0,1.0,1.0
Peternak Babi,64.0,48.0,2,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.2,5.0,60.0,4.0,2.0
Peternak Babi,25.0,26.0,1,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.2,5.0,20.0,3.0,1.0
PETERNAKAN,67.0,36.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,10.0,58.0,5.0,1.0
PETERNAKAN,55.0,19.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,10.0,35.0,3.0,1.0
Peternakan Babi,22.0,176.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,0.0,0.1,,80.0,5.0,2.0
Peternakan Itik,44.0,266.875,4,"Pertanian, Kehutanan, dan Perikanan",2.0,2.0,0.3,10.0,0.0,1.0,2.0
Peternakan Puyuh,268.0,180.0,2,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,0.6,0.0,320.0,5.0,1.0
Produksi Tanaman Hias Dan Mediasi,27.0,104.0,3,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.2,0.0,8.0,4.0,1.0
Pupuk,361.0,325.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.25,6.0,0.0,5.0,1.0
Rumah Makan Ikan Bakar,883.0,339.99,15,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.3,0.0,502.0,7.0,1.0
Sagu,106.8,18.0,3,"Pertanian, Kehutanan, dan Perikanan",3.0,2.0,1.0,3.0,100.0,2.0,1.0
SAYUR MAYUR,11.9,115.2,1,"Pertanian, Kehutanan, dan Perikanan",1.0,0.0,0.2,,10.0,3.0,1.0
Soevenir,10.0,189.0,3,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.1,10.0,5.0,4.0,2.0
Tambak Ikan,131.5,7.6,2,"Pertanian, Kehutanan, dan Perikanan",2.0,1.0,0.5,5.0,115.0,4.0,1.0
Tani,45.0,72.0,10,"Pertanian, Kehutanan, dan Perikanan",2.0,2.0,0.2,10.0,24.0,5.0,1.0
TANI JERUK,78.2,18.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,1.0,0.0,78.0,0.0,1.0
Tani Tembakau,32.5,20.75,1,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.1,,15.0,5.0,1.0
TEMBAKAU,140.1,96.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,1.0,10.0,85.0,4.0,1.0
Tembakau Potong,24.5,290.5,2,"Pertanian, Kehutanan, dan Perikanan",2.0,0.0,0.2,10.0,350.0,3.0,1.0
Ternak Ayam,84.31,600.0,12,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.5,10.0,173.0,8.0,2.0
Ternak Ayam Potong,77.0,480.0,1,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,0.0,116.0,8.0,1.0
Ternak Bebek,23.5,18.0,4,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.3,10.0,30.0,5.0,1.0
Ternak Ikan Lele,36.0,38.0,4,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.1,8.0,80.0,6.0,1.0
Ternak Itik,99.0,86.0,4,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.2,2.0,93.0,6.0,1.0
Ternak Puyuh,21.95,172.44,1,"Pertanian, Kehutanan, dan Perikanan",3.0,0.0,0.2,5.0,165.0,3.0,1.0
TERNAK SAPI,240.0,180.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.0,0.0,240.0,3.0,1.0
Ternak Sapi,1.07,4.64,3,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.3,3.0,720.0,4.0,2.0
Ternak Sapi Perah,229.5,39.36,1,"Pertanian, Kehutanan, dan Perikanan",2.0,0.0,0.05,5.0,200.0,4.0,2.0
Ternak+jamur,4.25,53.0,30,"Pertanian, Kehutanan, dan Perikanan",3.0,1.0,0.05,6.0,10.0,3.0,2.0
Toko Kelontongan,67.15,144.0,0,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.1,8.0,40.0,3.0,1.0
UBI JALAR,12.55,3.16,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.05,10.0,125.0,3.0,1.0
Udang Dan Ikan,82.0,80.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,2.0,0.05,0.0,60.0,3.0,3.0
Usaha Ayam Potong,112.0,50.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.2,10.0,123.0,4.0,1.0
Usaha Penjualan Tanaman,634.0,400.0,2,"Pertanian, Kehutanan, dan Perikanan",1.0,0.0,0.3,,33.0,8.0,1.0
Usaha Penjualan Tanaman,137.5,47.5,2,"Pertanian, Kehutanan, dan Perikanan",1.0,0.0,0.1,,6.0,4.0,0.0
Warung Kopi,27.25,33.75,2,"Pertanian, Kehutanan, dan Perikanan",1.0,1.0,0.3,10.0,15.0,,1.0
Pembuatan Perabot Rumah Tangga,190.0,144.0,2,Lain-lain,1.0,1.0,0.2,0.0,100.0,4.0,2.0
Pangkas Rambut,60.0,48.0,2,Lain-lain,1.0,2.0,0.2,4.0,12.0,6.0,1.0
Jasa Salon ,20.0,132.0,3,Lain-lain,1.0,1.0,0.1,0.0,87.0,6.0,2.0
Penjahit,54.0,40.0,6,Lain-lain,2.0,2.0,0.4,6.0,70.0,5.0,1.0
KURSUS MENJAHIT ,15.86,14.4,1,Lain-lain,1.0,2.0,0.1,8.0,12.0,7.0,2.0
PLAT BK,68.71,87.0,2,Lain-lain,1.0,2.0,0.05,10.0,130.0,6.0,1.0
Jahit Pakaian,14.5,36.0,1,Lain-lain,1.0,1.0,0.2,10.0,10.0,4.0,1.0
Jasa Pangkas Rambut,10.08,27.9,1,Lain-lain,1.0,1.0,0.05,5.0,7.0,4.0,1.0
