Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Nurmila Aksesoris,Pembuatan Aksesoris,"37,2","6,5",1,2014,?pm=0kpU6PnrWiesZzGHuIu8+g==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Penjahit Dewi,Menjahit,"9,05",8,1,2014,?pm=xOm7YrHM6At9hfDY2/X11A==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Isi Ulang Mutiara,Isi Ulang Air Minum,"24,64",30,2,2014,?pm=l5fqws/f0a54OYgMloxguA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Laundri Marya,Jasa Laundry,"50,55",54,2,2014,?pm=wgcQR+2xxI76/MpVh9pyfA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 UD Amnah,Penjualan Sembako,"57,25",30,1,2014,?pm=kAEQ7OajG4r5CtHBCjQK/Q==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Flanetya Craft,Produksi Aksesoris,9,9,2,2014,?pm=jF/HetbbjrwxNoRu7IIlEQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Pembuatan Es Batu,Pembuatan Es Batu,"39,4",144,2,2014,?pm=HpHiYp3O4ZB6fxLK4/iMHw==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Oi Sablon,Sablon Dan Stempel,65,60,9,2014,?pm=dYRfMWWCtp92fBgRPsQBMg==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Orchid,Roti,"13,1",15,2,2014,?pm=W0ZMHPtQjBGI6FMd01naLA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Hadijah Catring,Catring,"74,05",80,2,2014,?pm=8wM4ROekrwABNSV8Y7DGAQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
