Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Penjahit Yati,Jahit,"29,95",70,7,2014,?pm=gP6HQxXxc1YuM96bBfYFcg==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Jajanan Nyameng,Jajanan Tradisional,"1,81","10,08",1,2014,?pm=M8qqdTHSxh/fXy3g4m7EQg==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Cuci Rubiyah,Buruh Cuci,"15,21","6,3",1,2014,?pm=bjR8W0WvvbNZJG6tcZkDgg==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Ardilla Fashion,Tukang Jahit,64,150,3,2014,?pm=j/USxDHk4y6nTeiIxVueaQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 R Qweena,Rajutan Souvenir,"11,51",6,1,2014,?pm=57zZDGPxeo8KPckLhsVWag==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Es Cream,Es Cream,"65,26","16,5",1,2015,?pm=fmsIAhhadL2VJi8iwNHNrQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Kinyang Workshop,Kerajinan Batu Akik ,60,180,1,2015,?pm=z/zqS88vYIo/cLkwYzZ9jg==&mp=Q47xnX4Fmgxfelhgew2rrQ==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Chania Tailor,Penjahit,84,24,1,2014,?pm=rsLKsZuFp5Uy6ikjaNRvhA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Penjahit Baju Wanita Yusmawati,Menjahit Pakaian,"101,4",72,1,2014,?pm=+VlF8Ad4Ib65JqrI2UWEgw==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
 Loundry Tri,Loundry,"13,3",18,2,2014,?pm=TFIMGg1QD+DHn9cGbF65+w==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan"
