Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Agen Gas Lpg,"38,8","19,2",1,2014,?pm=F36TuyG3nePzM9LC3xMzzw==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pengadaan Listrik, Gas, Uap Air Panas dan Udara Dingin",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 38,80 Juta","Rp. 19,20 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 25,00 Juta",3
Isi Ulang Air,"66,5","34,2",2,2013,?pm=9txaT3Ar/Ra1cODmPa3/XQ==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pengadaan Listrik, Gas, Uap Air Panas dan Udara Dingin",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %",Sedang,"Rp. 66,50 Juta","Rp. 34,20 Juta",10 %/Tahun,"Rp. 4,00 Juta","Rp. 80,00 Juta",7
Penjualan Gas Elpiji,21,48,2,2014,?pm=8quzVDF+A/T60Ac0L5MDfQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pengadaan Listrik, Gas, Uap Air Panas dan Udara Dingin",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,"Rp. 21,00 Juta","Rp. 48,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 16,00 Juta",4
Lpg Tabung,12,"49,92",2,2014,?pm=kCcsNadTiHBVOX8yIXD10w==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pengadaan Listrik, Gas, Uap Air Panas dan Udara Dingin",Perorangan,2,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 12,00 Juta","Rp. 49,92 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 300,00 Juta",3
Alat Alat Elektronik,"16,5",36,3,2014,?pm=/2xNRomB62g3CjHrJQh4HQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pengadaan Listrik, Gas, Uap Air Panas dan Udara Dingin",Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Sedang,"Rp. 16,50 Juta","Rp. 36,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 300,00 Juta",3
