Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Penyewaan Pakaian Adat,299,"6,25",2,2011,?pm=ahr7SqmtfGtG4t96E+BmbQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   60,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   40,00 %",Sedang,"Rp. 299,00 Juta","Rp. 6,25 Juta",20 %/Tahun,"Rp. 7,00 Juta","Rp. 18,00 Juta",5
Kos,351,45,2,2014,?pm=fbbxzbFfM/hqF0vQcbbETQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 351,00 Juta","Rp. 45,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 0,00 Juta",4
Penjualan Tiket,"18,5",24,3,2014,?pm=9/lAvK+azkPXHdZChPBCyQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",CV,3,Retail,"Tidak Ada   0,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %",Tinggi,"Rp. 18,50 Juta","Rp. 24,00 Juta",- %/Tahun,"Rp. 3,00 Juta","Rp. 500,00 Juta",10
Jasa Sewa Tenda,205,42,5,2013,?pm=eQnVAGq6njrT2cFHD40qnw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",Perorangan,5,Retail,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 205,00 Juta","Rp. 42,00 Juta",5 %/Tahun,"Rp. 5,00 Juta","Rp. 30,00 Juta",4
Jasa Las,"19,1",210,2,2011,?pm=G9ZBsPElzAaJruOhFmS54g==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",Perorangan,2,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Sedang,"Rp. 19,10 Juta","Rp. 210,00 Juta",5 %/Tahun,"Rp. 10,00 Juta","Rp. 30,00 Juta",5
AGEN KENDARAAN,5.500,68.000,1,2013,?pm=0+l5bjE5bwnFhaJ12+l+Fw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 5.500,00 Juta","Rp. 68.000,00 Juta",0 %/Tahun,"Rp. 10,00 Juta","Rp. 40,00 Juta",4
RUMAH SEWA,1.200,14.000,1,2013,?pm=tkXjvqc0J1cpt3FcqWQjZw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 1.200,00 Juta","Rp. 14.000,00 Juta",5 %/Tahun,"Rp. 10,00 Juta","Rp. 10,00 Juta",4
TEMPAT KOST,400,48,1,2012,?pm=fN7+cQv1Ii9/a+l7rWQoJg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 400,00 Juta","Rp. 48,00 Juta",25 %/Tahun,"Rp. 0,00 Juta","Rp. 357,00 Juta",7
Jasa rental Internet,7,104,2,2008,?pm=q19zn/bgLVgDf9rzGn4+gw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 7,00 Juta","Rp. 104,00 Juta",10 %/Tahun,"Rp. 5,00 Juta","Rp. 4,00 Juta",4
Rental & Jual Kaset DVD ,"274,7",25,1,2009,?pm=Sh0bQ9pGqXlI1yinfi7xnw==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",Perorangan,1,-,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",-,"Rp. 274,70 Juta","Rp. 25,00 Juta",15 %/Tahun,"Rp. 10,00 Juta","Rp. 250,00 Juta",5
