Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Audio Elektronik,Perbaikan,"16,3",216,1,2013,?pm=cfvCs/Rbo4UxTXwak2lNOg==&mp=fOhzApotY5QnAtxxXvjAfA==,Informasi dan Komunikasi
 GE Net,Jasa Internet,"22,5",704,2,2011,?pm=mhiMjbkodtv7MLzJNrSKCQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Informasi dan Komunikasi
 Service Elektronik Muhidin,Service TV,"16,5",115,1,2013,?pm=77a6j03Qp6DTyOSYXuRdzw==&mp=fOhzApotY5QnAtxxXvjAfA==,Informasi dan Komunikasi
 WARNET BINTANG,WARNET,"90,95","94,5",5,2011,?pm=9nbfI9NdZxcwys3gpRChzQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Informasi dan Komunikasi
 LOKET PEMBAYARAN LISTRIK,LOKET PEMBAYARAN LISTRIK,314.000.000,40.000.000,1,2013,?pm=aAn3y3aAVRAk2jA22WvOMA==&mp=fOhzApotY5QnAtxxXvjAfA==,Informasi dan Komunikasi
 Nabon Net,Warnet,0,0,2,2012,?pm=Uzb+RUOOyBwAgpStvd68zw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Informasi dan Komunikasi
 J.Net,Warnet,54,35,8,2014,?pm=i+QsDPAbnhOVkkq3ryh1nA==&mp=xI6rAeQkygTAn3Z625IGLg==,Informasi dan Komunikasi
 Salwa Salma Cell,Penjualan Pulsa,"4,6",30,1,2014,?pm=Ap/omNIg7Sjp88sSosQkXw==&mp=xI6rAeQkygTAn3Z625IGLg==,Informasi dan Komunikasi
 Pandi Cell,Pulsa,"23,3","92,4",2,2014,?pm=zuLy7wlseazGf2OM5MueJg==&mp=xI6rAeQkygTAn3Z625IGLg==,Informasi dan Komunikasi
