Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Klinik,390,1.2,1,2010,?pm=A+GumEXk/5PMOWMFQF3I7w==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Jasa Kesehatan dan Kegiatan Sosial,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %",Sedang,"Rp. 390,00 Juta","Rp. 1.200,00 Juta",30 %/Tahun,"Rp. 0,00 Juta","Rp. 470,00 Juta",9
Lab Teknik Gigi,"17,5",7.0,1,2014,?pm=v0IrtfNZcljc6kXNjpKhew==&mp=xI6rAeQkygTAn3Z625IGLg==,Jasa Kesehatan dan Kegiatan Sosial,Perorangan,1,Retail dan Distributor,"Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 17,50 Juta","Rp. 7,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 17,40 Juta",6
Apotek,177,620.0,3,2014,?pm=HYEFpsYVNaK/qvsYFSISWQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Jasa Kesehatan dan Kegiatan Sosial,CV,3,Retail dan Distributor,"Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 177,00 Juta","Rp. 620,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 132,00 Juta",3
Tukang Gigi,65,600.0,1,2014,?pm=GkVX3C9+Jf1pEpm8SVm67w==&mp=xI6rAeQkygTAn3Z625IGLg==,Jasa Kesehatan dan Kegiatan Sosial,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   75,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   25,00 %",Rendah,"Rp. 65,00 Juta","Rp. 600,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 10,00 Juta",2
Jasa Kesehatan,"18,5",18.0,1,2014,?pm=MB+vAm+/r0QfcqVy9uYDsg==&mp=xI6rAeQkygTAn3Z625IGLg==,Jasa Kesehatan dan Kegiatan Sosial,Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 18,50 Juta","Rp. 18,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 12,00 Juta",6
