Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Planet Game,Rental,19,108,3,2013,?pm=8Yob9An0UV+iUKUzWZSxww==&mp=fOhzApotY5QnAtxxXvjAfA==,"Kesenian, Hiburan dan Rekreasi"
 FOTO STUDIO IDOLA,FOTO DIGITAL,"54,6",83,2,2011,?pm=d+9fJPDxZDyLGJu0pdYOhQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Kesenian, Hiburan dan Rekreasi"
 Pedagang Kerajinan Khairman,Pedagang Kerajinan,138,30,1,2012,?pm=Iu8wjvi6TMTyaxYQZp8W9w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Kesenian, Hiburan dan Rekreasi"
 Production House Basyarudin,Production House,460,480,3,2011,?pm=kUB8fG7NVYN99Yyfm5kBqg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Kesenian, Hiburan dan Rekreasi"
 Aak PS,PS,"59,5",37,0,2011,?pm=+pympYWjvBaBgL6qfNbfVA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Kesenian, Hiburan dan Rekreasi"
 Toko American Star,Kerajinan Khas Kalimantan,855,120,5,2014,?pm=vjyhYkYx3JSEpS7LjCP6HQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Kesenian, Hiburan dan Rekreasi"
 Den Mas Joyo,Rental PS,38,90,5,2012,?pm=P98STvTxw5Xnd12QQ7aRBA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Kesenian, Hiburan dan Rekreasi"
 Zahra Gallery,Galeri,"12,5",60,0,2012,?pm=8OGPo5PJOhdIvlWCr1pF8w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Kesenian, Hiburan dan Rekreasi"
 Taman Sakura Garden,Taman,169,0,2,2012,?pm=IaKjoVRTLQMHrIu/Np4vWQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Kesenian, Hiburan dan Rekreasi"
 Akrilic ,Kerajinan,5,"10,91",3,2015,?pm=VlMxXBDUtNGIYGsX5cxTEQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==,"Kesenian, Hiburan dan Rekreasi"
 Kurnia Musik,Organ Tunggal,"484,1",120,5,2014,?pm=QrFYhZ9y4y+5UBXn6zYl8w==&mp=xI6rAeQkygTAn3Z625IGLg==,"Kesenian, Hiburan dan Rekreasi"
