Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Salome Melawai,Camilan,6,200,1,2013,?pm=Qj4h5F5N2OBEvrOI3zrg1A==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Rawon Ayam,Warung Makan,"17,5",360,2,2013,?pm=rxDS7snlFqDyhROeIqeOdA==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Faiz Gresik,Warung Makan,"10,5",250,2,2013,?pm=smMPEeeRaIe9HC5rryBa3A==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Suroboyo,Warung Makan,"6,5",990,3,2013,?pm=akzvwO1Hf4kboA6BZRg+8g==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Es Kelapa Ragil,Warung Minum,"2,5",108,1,2013,?pm=rJ83E49PkJXcS4rR+DjiMQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Tahu Kremes,Camilan,23,72,2,2013,?pm=QkdC0cg9rGkMXGbAB3cHDw==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Rm. Mbah Broto,Rumah Makan,61,54,4,2013,?pm=65vmG75icI2FXQdLv6R1tQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Rosdiana,Warung Makan,"0,8","87,6",1,2013,?pm=BV/2MdRA1BKqwArOE0x9gQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Sari Kedelai & Kelapa Muda Miji,Warung Minum,"10,3",54,1,2013,?pm=nPTBVfp2jUSWffxnGQgaeg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Bakso Balai Pak Tarno,Warung Makan,10,275,1,2013,?pm=Eo+U+NlT42e2JICp9bG2Yg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Mba Nur,Warung Makan,"17,2",96,1,2013,?pm=Mb0NJ5bjDLZt16qd+chUyQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Kerak Telor Betawi,Warung Makan,"6,15",108,1,2013,?pm=4dTnOKZpI0xmWXwa93jvBA==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Pukis Sari Rasa,Camilan,6,72,1,2013,?pm=HkfBFhrr3i/7c6/as828bQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Batagor Ikan 21,Warung Makan,6,168,4,2013,?pm=10dTRGxSgMX4ue/S17F35Q==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Kacang Goreng Saprah,Camilan,10,"21,67",2,2013,?pm=ufF8Rq7cty1e+QA7ynV0JQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Gorengan Strat 1,Camilan,2,"10,8",1,2013,?pm=AhlZkLa4XYdVuPmMUoczZg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Sop Buah Kurnia,Warung Minum,20,180,1,2013,?pm=ZMxvDk7Wg5WiI7Q8vOeZBg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 RM Dewi Kuat,Warung Makan,149,80,5,2012,?pm=rXeuZNA7fJCKUHbeUfK6yQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Mie Ayam Mb Rusinah,Dagang Mie Ayam,"1,9",69,1,2011,?pm=vxTNVUN3uoyNxcJvqP70lw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Rm. Borobudur,Rumah Makan,361,432,3,2008,?pm=MiH0EiXsFt9ZPFkTtMrJow==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Selera Rasa,Nasi Pecel Lele,59,39,1,2010,?pm=E0Se4Iyc+qvLsXnmhCG9tA==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Pempek Palembang,Pempek Palembang,578,570,2,2010,?pm=0SbSTSBWncKZ0sVRC6eNoQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 RM Mbak Pur,Makanan,152,"28,5",0,2010,?pm=EA96M5koHuuoXWYmu7TyLg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Mie Ayam Gimin,Mie Ayam,"108,5","139,6",0,2010,?pm=xOhZFGXyAAgVnNt1XtQUow==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Sate Kerang Kali Bu Hartati,Dagang Sate Kerang,106,596,7,2013,?pm=rBreMIXLJUCNOPLXwstieA==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Wr. Simpang Opat Kuaru,Warung Makan,"124,5",252,2,2013,?pm=F8JvPvrr2wd6Jk0uSWw1/g==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Jawa,Warung Makan,"136,5",252,1,2013,?pm=YRqJc5aeghD+tx4GYMHOIw==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Jamu Sumariah,Jamu,"2,5",72,1,2013,?pm=tIwzmnfTxzspXmNChKqjXQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Cemilan Bazar,Cemilan,"5,9",180,1,2013,?pm=ygILGSpTwiK6ZMUI0tfA/g==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Kerak Telor Pak Budi,Kerak Telor,98,720,1,2013,?pm=ZeOfyw1JjZQsxD6JYFZoKA==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Bakso Ceker Pak Sutar,Bakso Ceker,4,252,1,2013,?pm=kWzq3l+v4gEuk+0em4c5fg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Pentolan Arif,Pentolan,"2,5",72,1,2013,?pm=JcC9AvLIlVWkqlGybg28+Q==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Pentol Ojolali,Pentol,15,108,1,2013,?pm=bPpImMDW19hprApotJALYg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Miss Burger - Manacoffee,Burger,"5,6",36,1,2013,?pm=OoovF5q/EXobIbwHGNSNsg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Siomay Hokie Bandung,Siomay,5,72,1,2013,?pm=hkqsG36jIYFk8f4AW4MN3A==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Es Bejo,Es Bejo,5,108,1,2013,?pm=U3MzaBe0G2uTJXRA8eXoVA==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Usaha Ikan Asin,Ikan Asin,3,360,1,2013,?pm=RYU3K3McCz8a2rBY3qme2A==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Pentol Parjianto,Pentol,"2,1",108,1,2013,?pm=vAM54N3UJkmtj9GRDmeALQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
" Jual Kelapa Dan Drum ""murdi""",Es Kelapa Dan Drum,"7,5",90,1,2013,?pm=a16LALI30Vh25fHq1LqAow==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Martabak Suhar,Martabak,"6,8",144,1,2013,?pm=C3bzXaWJGuyuzKizdwuTIA==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Pentol Doa Istri Barokah,Pentolan,"5,7",288,1,2013,?pm=lVNWLdoRBSqZynjZDGA93g==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Toko Pisang,Buah-buahan,3,90,1,2013,?pm=+EifFqugD15Nevs3gzFPcw==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Pentol Laras,Pentol,"3,2",72,1,2013,?pm=Tp3IFlCpO6rf1SbK53lmuw==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Martabak Telur Dan Terang Bulan Umi,Martabak Dan Terang Bulan,"6,7",360,2,2013,?pm=/GLHZIEz3EPkE+leMzr0Xw==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Nasi Uduk Pecenongan,Warung Nasi Uduk,22,254,8,2011,?pm=FBDWhUq2um4la9+/pF3WSg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 USAHA MIE PANGSIT,MIE PANGSIT,9,456,4,2012,?pm=u18iOVG/hKgvB6Zqq8ZQOA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 HERI CAFFE,Makanan/Minuman,6,162,2,2012,?pm=TJ2VljUno/pWSPqw5mA89w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 WARUNG BAKSO,Bakso,4,192,3,2012,?pm=vp8fLGim29NsbMmpNNhcvw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Leni Herlina,Pembutan Nasi kuning,"4,4",99,2,2008,?pm=SwotiOb6A0T4VlKta1vOWQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Soto Kuin Idah,Pembutan Soto,"32,05",95,3,2008,?pm=MKc88apMK6RDiRqfDRFWXg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Wardiatul Azizah,Pembutan Ikan Bakar,"5,75",72,1,2008,?pm=pt+GjenCz9QkO2N42VzhWw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Juraidah,Pembutan Ikan Bakar,"4,3",162,1,2008,?pm=7KdU4vRsonhO/AqxExaezw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Qomariah,Pembutan Bubur,"1,56",66,2,2008,?pm=3z6U5hkP1ZGPHFNbuC1lkg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Kios Emi,Rumah Makan,3,180,1,2008,?pm=nRoIvpmaSrf9riZJxd3J2g==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Kios Fatimah,Rumah Makan,"4,5",109,1,2008,?pm=GuKXNAhnRO9BGJX/BTLMRA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Kios Fauzi,Rumah Makan,"4,5",109,1,2008,?pm=z++ovf8eFcsQXifNEYBmKA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Rumah Makan Anugerah,Rumah Makan,"117,68",363,3,2013,?pm=dcJDvNaSX2PQb2vpUieLgg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Es Teler Pak Midori,Es Teler Durian,"55,6",240,1,2013,?pm=uyUnGqUWjMDjMVgCxFGyHQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Sadayana Raos,Rumah Makan,33,420,4,2013,?pm=9CVKV/b9hTpe4DGztwDDJw==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Pondok Es Teler Shinten Rhemen,Warung Minuman,7,144,1,2013,?pm=OCuUJ+HJnEg16RKm2uPfoQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Tahu Tek-tek Panin Tower,Warung Makan,"17,5",360,1,2013,?pm=egIS+Hjdb6DdDBmB/hdDig==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Tahu Baxo,Warung Makanan,32,324,2,2013,?pm=qpMr8u5FCos0JxOzz2YRYQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Makan Sudi Mampir,Rumah Makan,"9,5",108,1,2013,?pm=TsxQK7t/Y0xbu+9xzPVixA==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Es Klamono 85 Cabang 1,Rumah Makan,25,"64,8",1,2013,?pm=wFmhTCBjuI5NIc+wPjJaoQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Blitar,Rumah Makan,"68,5",60,6,2013,?pm=pBGNFzmHVkg1WcLzha1YkQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Rumah Makan Moro Seneng,Rumah Makan ,"183,3","586,6",6,2011,?pm=+LU5ZTwHFf6TtpuhXQ3NYw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Toko Hati Riang,Pedagang Makanan Dan Minuman,34,51,1,2012,?pm=3rzu0T/naj+olfDF71ErOw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Makan Sederhana,Jual Nasi Uduk,86,28,2,2010,?pm=UBPQEWNi4KpE4UfNImD51g==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Bakso,Bakso,"8,5",164,0,2010,?pm=mw1vXZ4Z5cMub4uXVHrDcA==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Mulia Raso,Warung Makan,0,0,2,2012,?pm=jwiz2jS9K1OnOkb6BLH4ng==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Rumput Laut SMP 6,Rumput Laut,0,0,2,2012,?pm=8JunWSa5PehImIq/4Bb3mQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Den Bagus,Rumah Makan,115,360,4,2012,?pm=HyUO141HMzAgi7w86DqVdg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Babi Guling Pakerisan,Rumah Makan,515,525,10,2008,?pm=T+prfWeLsdGTdhyC/3NgxA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Makan Nasem,Warung Makan Matang,21,177,2,2011,?pm=KgoYmc4sqV7XNqTOT0sfNQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warteg Danirizka,Rumah Makan Tegal,29,21,4,2008,?pm=tdZSygIArJ6fY6SW/MnI/A==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Kantin Rezeki,Dagang Makanan dan Minuman,61,51,4,2008,?pm=NPLiY2Z6R12TyjY2JPUFUQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Rumah Makan Pondok Salero,Dagang Makanan dan Minuman,32,180,5,2008,?pm=4t+Hi9xc7/dvudDk4u245w==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Lamongan Asli 2,Rumah makan soto Lamongan,15,210,3,2008,?pm=b9tAutsxCcIRFBrWlQrdpA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Mie Ayam Yamin,Dagang mie ayam bakso,"15,5","105,6",1,2008,?pm=oQ36e6i2appwyos9mAc2kQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warteg Bahari,Rumah Makan Tegal,"50,08",207,4,2008,?pm=Cs3ZwiDZ+st2vcwhtKtPCw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warteg Mas Aji,Rumah Makan Tegal,20,"20,25",4,2008,?pm=XqfTV4jVBqqh2NkCoXP9/A==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Berkah Jaya,Rumah Makan Tegal ,"18,78","26,5",3,2008,?pm=rfUByszFvnVH7trJQTXErw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warteg H Ten,Rumah Makan Tegal,5,"51,66",4,2008,?pm=10A3cH2iyZgUuIbnmkeMiw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warteg Sari,Rumah Makan Tegal,"10,2","18,66",2,2008,?pm=WF0c3twZDl+sPLDRN04tPQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Nasi Goreng Trisakti,Dagang Nasi Goreng,"3,5",60,2,2008,?pm=zhvXGb03Cp555xR54DvMvA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Roti Bakar,Dagang makanan dan minuman,5,"55,75",1,2008,?pm=t+b1MgG0Xh9iAynwJjquqQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Soto Betawi,Dagang soto Betawi,8,"19,33",1,2008,?pm=35ngWlKvFBZQYIxO0KNOPw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Pemuda Jaya,Rumah Makan Padang,"12,66",19,1,2008,?pm=CaxlnBr+dEGO74D5e4RuAQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 RM Pempek,Dagang Pempek Palembang,19,"38,66",2,2008,?pm=zRkB/0TT2KmrA5bJSv+3DA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 RM Nasi Goreng,Dagang Nasi Goreng,"10,5","177,6",1,2008,?pm=UM7vGLb00dgCTKCEWc7mKg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warteg,Rumah Makan,20,"122,4",3,2008,?pm=HipBn27nrc7wuCxazLvuEw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Rumah Makan Padang,Rumah Makan Padang,5,97,2,2008,?pm=F3tUAf2MkLMLQivEUrfZUw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Sate H Dullah,Dagang Sate Madura,"237,35",39,3,2008,?pm=2Zk4lTWyraMMxLx85TWsxQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Sate Madura,Dagang Sate Madura,"64,65","19,95",4,2008,?pm=vD1dgzYWODNP5Sip6PXTIg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Nasi Bebek Goreng,Dagang Nasi Bebek,"7,45",19,1,2008,?pm=h+nfEo3jRA6iHZah8Ua0SQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Soto Ayam Madura,Dagang Soto Ayam,"5,8","148,8",1,2008,?pm=8ovKbZ0RkP6CLl/EjkBHbw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Sate Solo Pak Mino,Rumah Makan Sate Solo,"14,1",149,3,2008,?pm=x741qv/+/kWAbU2vOxMSZw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Sate Parahyangan,Dagang sate ayam dan kambing,"201,7","37,2",3,2008,?pm=yQRzxfxKW2qRg+m9hmxBBg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
