Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Kios Harmoni,Rumah Makan,"238,5",420,5,2008,?pm=Go4K2AM59WrgaRfagz2xxA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Pondok Ragey,Rumah Makan,205,300,6,2008,?pm=6n9n8k4d8LQSzg4gUWfbTA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Kedai Jawa,Rumah Makan,"302,5",144,2,2008,?pm=HVV2o54jempyfkfKn8yIgg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Manisan,Dagang Makanan,"7,5",120,1,2011,?pm=7SNlPe79BdfWkMXpLXcTNA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Manisan,Warung Makanan,"13,5",30,2,2011,?pm=gNd1Jig7Tt6Zu0XsQqWzXw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Manisan,Jual Makanan,27,48,0,2011,?pm=t45kop5LZsE2Z/Ms2Dgfug==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Manisan Nurhaeti,Dagang Makanan,23,60,1,2011,?pm=DUtCOhm59mjpSOpq4IAaaA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Bakso Bibit,Dagang Bakso,14,240,1,2010,?pm=BxNeIWQEEWURdpSMdJeJiw==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Sari Laut 76,Rumah Makan,"6.074,2","234,6",1,2011,?pm=8vQ24yLfAtkrQg6JLqQJPg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 UD Nur Lampu,Catering Makanan,115,480,41,2013,?pm=zuuZrfQ8DB3z6wnQvWR3vg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Pempek Ummu Zafirah,Rumah Makan,6,38,2,2013,?pm=WqkWF4V3qaVK/6Ge8blEsg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Kedai Mini Cabang Kediri,Rumah Makan,20,"47,88",2,2013,?pm=S0/dIBKsVQHsDwtrwMNUwg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Es Dawet,Warung Minum,"2,55",144,1,2013,?pm=1KcQ+yViSCw8EeIn1gcazg==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Mi Ayam Supiran,Rumah Makan,"11,3",180,1,2013,?pm=AcjC/2Dm9kWUmNdy/dGtiQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Es Kelapa Muda Telaga Sari,Warung Minum,18,144,1,2013,?pm=od+j6uqQoIwNps2XkDClsQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Toko Trisna Dewi,Warung,"10,5",79,2,2013,?pm=I0k+AOaWUnpPFoKEt1NF+w==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Pempek Palembang Cik Noni,Warung Makan,"4,7",240,2,2013,?pm=Ju1lJgjtXf9oubBsE49quw==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Roti Bakar Bhayangkara,Camilan,"142,5",108,1,2013,?pm=SZVexC04gjjvAxAB8YSz4w==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Gado-gado Bibi Ros,Warung Makan,"2,5",60,1,2013,?pm=kTiKeBGtPOIOpgogFfyFGQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Bu Cek Rum,Camilan,17,"8,4",1,2013,?pm=OoN9nDtOMv3uvwmFLo9tRA==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Jamu Gendong Bu Marni,Minuman,5,48,1,2013,?pm=x8es5d34SoJh0Mi2UD8M4g==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Salome Amb,Camilan,"3,75",155,2,2013,?pm=oyPP16bsbSg8KanwMf1H5g==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Warung Kopi Arema,Camilan,13,144,3,2013,?pm=Htkc+1lUIqQ2BzeF9BxfmA==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
 Florida Pancake,Camilan,19,24,2,2013,?pm=ZaqKCTPajmRZjRZ5FvU7EQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Penyediaan Akomodasi dan Penyediaan Makan Minum
