Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Jasa Angkutan Umum,"66,2",324.0,2,2012,?pm=wgYf8ks5rCR0s+IzwgfoEw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Transportasi dan Pergudangan,Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   90,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   10,00 %",Tinggi,"Rp. 66,20 Juta","Rp. 324,00 Juta",50 %/Tahun,"Rp. 0,00 Juta","Rp. 100,00 Juta",5
SEWA DUM TRUCK,21.700,9.6,1,2013,?pm=7diSXEUwl7270Z/cyNkcyg==&mp=fOhzApotY5QnAtxxXvjAfA==,Transportasi dan Pergudangan,Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %",Rendah,"Rp. 21.700,00 Juta","Rp. 9.600,00 Juta",20 %/Tahun,"Rp. 3,00 Juta","Rp. 215,00 Juta",5
Pengangkutan Barang,0,0.0,0,2013,?pm=TGb7ooHrsIsIy1b/LfJCTw==&mp=fOhzApotY5QnAtxxXvjAfA==,Transportasi dan Pergudangan,Perorangan,0,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %",Sedang,"Rp. 0,00 Juta","Rp. 0,00 Juta",0 %/Tahun,"Rp. 0,00 Juta","Rp. 0,00 Juta",6
