Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Raside Kontruksi,Jasa Konstruksi,"174,25",465,5,2014,?pm=oZHE1jR8+vPOyE4CXi3j5A==&mp=xI6rAeQkygTAn3Z625IGLg==,Konstruksi
 PG. Marjo Genteng,Pembuatan Genteng,14.450.000,"41,4",0,2011,?pm=9Q4zFZtpvtAKw7Adq7WIdw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Konstruksi
 Saiful Huda,Genteng Semen,"15,8",50,2,2009,?pm=R0kZuiVvNPVtI0ox5KcUbQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,Konstruksi
 Bintang Karya Beton,.,262,535,4,2012,?pm=ZtWXukN18WXY9oRXlwktvQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Konstruksi
" Paving Dan Batako "" Pak Basri """,Pembuatan Batako,31.000.000,81,3,2011,?pm=UH6iukfv8yEBQvSYmHUynQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Konstruksi
 Industri Batu Bata,Industri Batu Bata,71.300.000,72,2,2011,?pm=oljLic2xa+yUxav0yDvYxQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Konstruksi
 Usaha Mebel Bp. Tujino,Mebel,26.200.000,180,2,2011,?pm=ns3ZuhGczDmgbMbzfUtL1A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Konstruksi
 Mebel Jito,Mebel,78.000.000,410,3,2011,?pm=yvvcAJvg7i0aTb54TFK70g==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Konstruksi
 ATM Mebel,Bangunan,440,180,8,2009,?pm=2Tw/IcogEQy+cJZEgoCcEw==&mp=2BbfzMJpZb2nANZ3GT30ng==,Konstruksi
 Bata Bolong Jumiron,Pembuatan Bata Bolong,46,96,3,2009,?pm=yWMbbDHDlYV+ws/dY78MZw==&mp=2BbfzMJpZb2nANZ3GT30ng==,Konstruksi
 Aam Bata,Pembuatan Bata Bolong,37,102,6,2009,?pm=nTYbXl9BaZFfIB9TXeRq9w==&mp=2BbfzMJpZb2nANZ3GT30ng==,Konstruksi
 Barokah,Jasa Pemasangan Plafon,235,89,5,2012,?pm=9TbZKN/HWyxbBZ0aRKM0zQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Konstruksi
 UD. Ridho,Jual Bahan Bangunan,516,255,6,2011,?pm=EMlHoz9Ne2HNRzfkFPZ/+Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Konstruksi
