Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Alfa Laundry,Jasa Laundry,392,32,3,2012,?pm=t+Qzm5BGCc5NqFHFU7z9+Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Water Clean ,Cuci Kendaraan (Mobil & Motor),529,117,6,2012,?pm=gaLTzI+hGQeyXvC7cUCAKQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Tama Tailor Dan Gorden,Penjahit,"16,5",24,1,2011,?pm=zEuhM4CymM/KhZKxn+vDFQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya
 M & M Laundry,Laundry,"189,5",172,2,2013,?pm=jnFRLh6EZ/6HPH7wbC60Wg==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya
 Nurma Laundry,Laundy,"2,2","19,2",1,2013,?pm=u9fIupGQEvQlF1ATCxZRtw==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya
 Cucui Motor Verdy,Pencucian Motor,42,110,2,2014,?pm=+2cgLJYFNrMulxvjkysDeQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Cuci Mobil Samping Polsek,Jasa Cuci Mobil,89,36,5,2014,?pm=08GPhp4M60Jgn7jcdInMdA==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Global Elektronic Service,Service Dan Jual Beli Elektronic,"89,8",468,4,2014,?pm=zj8b6uzERja2Q0aL13Zmyw==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Magnetz Salon ,Salon Kecantikan,"66,5",64,2,2011,?pm=nOHcuqH+1bDPTzjOeEpn2g==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya
 Penjahit Mandiri Sejahtera,Jahit,"7,5","28,8",1,2011,?pm=3GT4CbmZ1CSsiIH454cdHw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya
 Bengkel Angitha,Tambal Ban,633,68,1,2012,?pm=aaYbr2dkkIbo06AMREa4mg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Laundry Gracia,Laundry,"17,35",75,3,2011,?pm=su8rEiJjtUiMl0l/ExspPw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya
 Penjahit Nuzul,Penjahit,39,"14,7",0,2010,?pm=Efahlsk2hN+AxObKUkQl8Q==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya
 Penjahit Leman,Penjahit,95,78,2,2010,?pm=NOKK+5WVTcfaoUHFBIf+OQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya
 AMK Komputer,Pengetikan Dan Foto Copy,16,34,1,2012,?pm=OFHrUL2bxycy/TgMTa3sLA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Yotromoro 2,Vermak Levis,10,26,1,2012,?pm=BpgB4GsWmHzSfTkOj7yfqg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Penjahit Win,Penjahit Pakaian,"176,75",533,2,2010,?pm=hq8tDtwCGwdYHS0J2TXiNw==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya
 NA,Jasa Laundry,"50,67",60,3,2011,?pm=Uj3+ZsKa3SfZMPXnUPKF8Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya
 TAYLOR,Menjahit Pakaian,413,78,1,2012,?pm=eG6O2gs9fts43SGWztT+8Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Pangkas Rambut Saudara,Pangkas Rambut,820,3.776,3,2010,?pm=FxmTTUBmuxOk2w9vC7Zrug==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya
 Penjahit Andi,Penjahit Pakaian,20,108,0,2009,?pm=NgVOr8D7kcfofnrvIRrPbQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,Kegiatan Jasa Lainnya
 A2 Studio,Cuci Cetak Foto,169,600,2,2010,?pm=96joZI+4NpSQQ637JmFAgg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya
