Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Laundryque,Laundry,42,72,2,2013,?pm=NTUKTjKlttix9Zrf6qielg==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya
 Penjahit Husin,Penjahit Pakaian,167,60,1,2012,?pm=CWp1H877s2x0eKXzUTnWWQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Penjahit Asal Manis,Penjahit Pakaian,34,30,1,2012,?pm=DPRW91tTXB5wiGQhCcx0Pg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Putri Salon,Salon,80,38,0,2010,?pm=bbXxKiGLhWVX5uBZKWt6Fw==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya
 A. Ridwan Tailor,Penjahit,116,72,1,2010,?pm=Y1Yyn/p0jExaF82dseh5tg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya
 Loundry Aldo,Loundry,64,12,1,2013,?pm=Rn8hVIeG+z9DDCEQqAF/Jw==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya
 Tambal Ban Stefan,Tambal Ban Stefan,"58,3",182,3,2013,?pm=ehjQFylEgAezHEOpYKhH5Q==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya
 Permak Levis,Jasa Vermak Levis,"14,5","46,5",2,2013,?pm=0XjOVLu7Ce8NKb3GUgsi0A==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya
 Variasi Megasari,Variasi Kendaraan,"82,5",63,2,2013,?pm=EYpht7+7REZN5FETAm0+qg==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya
 Nabila Salon,Jasa Salon,23,44,2,2013,?pm=zsghybbA7poFqt52UzG5Og==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya
 JASA BATAKO,PEMBUAT BATAKO,1.220,4.800,1,2013,?pm=PqnYr0806aMp1JAcAexOeg==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya
 Penjahit Arsih,Penjahit,"146,4",54,2,2011,?pm=Q/ljT7WITZrKCL76JXz1Gw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya
 Penjahit Pria Nasrul,Penjahit Pria,"223,5","172,8",2,2011,?pm=TUpUIPDOtxgF71ieSGSi+Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya
 Salon Ines,Salon Kecantikan,"192,25","101,39",3,2011,?pm=41ZfN1XkXqgHPICYWFtdLA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya
 Penjahit Labib,Penjahit Pakaian,"14,75",49,2,2012,?pm=s3QZ9avNuAe5xzM1hzYwwA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Aneka Bordir,Bordir,7,46,2,2012,?pm=qDxjlg38E2fkv+de/wccSQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Dody Taylor,Penjahit ,13,80,3,2012,?pm=QtelmgFKKQT6k7VcJ/pRRQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Penjahit Yadi,Penjahit,"9,8","61,5",4,2012,?pm=ozXA4GswcflGOALwn60btw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Penjahit Niki,Penjahit Pakaian,41,154,6,2012,?pm=ekC6SoGxN1agMpK9aRDaww==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Usaha Laundri Areka,Laundri Pakaian,84,328,4,2012,?pm=CPyRsyE09jjah1wQof6nXA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Steam Motor Agung,Steam Motor,"35,17","40,5",2,2013,?pm=R9LzW1sePVw32LbE7DeYYw==&mp=fOhzApotY5QnAtxxXvjAfA==,Kegiatan Jasa Lainnya
 Penjahit Abbas,Jahit Pakaian,"151,92",72,2,2009,?pm=g0QTy1mNW8dzGEzmLKMbOw==&mp=2BbfzMJpZb2nANZ3GT30ng==,Kegiatan Jasa Lainnya
 Sascha Digital Photo Studio,Studio Photo Digital,"87,28",27,2,2011,?pm=X8WRz4h77KPWe5lqDHRqwQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya
 Salon Dewi Ibu Tisna,Jasa Salon dan Asesoris,25,36,1,2008,?pm=/ELrgVCMLyLKCsYBzkbMSQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Kegiatan Jasa Lainnya
 Rista Tailor,Tailor,38,118,3,2012,?pm=IxonlFNyHfWV2wjtbNzCuA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Penjahit Abadi,Penjahitan,240,33,1,2012,?pm=I2tLj7QrROdFF05BVekfRQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Servis Elektronik,Servis,47,120,1,2011,?pm=rkQUtA56N9JtGbHwmuT1Yg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya
 Penjahit,Jasa Menjahit,"13,54","123,3",4,2009,?pm=ui66Jd3vduZj7Tx9j35Thw==&mp=2BbfzMJpZb2nANZ3GT30ng==,Kegiatan Jasa Lainnya
 Azeka Pitoto Studio,Cetak Photo,32,"19,5",2,2011,?pm=rYTLPZXNhADS4zQ2txVoBQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya
 MARZOAN TAYLOR,PENJAHIT,"13,9","26,7",1,2012,?pm=JUS91VBAWHd3+UU0Hfr5lA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Ahli Kunci Markoni,Pembuatan Kunci,"30,6",50,1,2014,?pm=sv32t84tB+1psc9isH8nDw==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Pangkas Rambut Al-Rasyid,Potong Rambut,"12,5",59,2,2014,?pm=KOfM3HnyatpIXvOXQS5wlA==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Wisma Kita,Wisma,"158,35",15,1,2014,?pm=WkSIE9QmpU/v1ZMz6UGSYQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Eka Jaya Plat Motor,Pembuatan Plat,"12,5",60,1,2014,?pm=vR9Hf+9ybcyJNZxNFmdFqg==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Sapulidi Laupe,Sapulidi Laupe,"19,3","5,04",4,2014,?pm=h/UT1SvVMaM1hXxUB+OzXQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Hidup Baru ,Usaha Pembengkelan ,"118,5","90,4",1,2014,?pm=sz6FYWpZOo0axxVgd4Wf7A==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Sol Spatu,Sol Sepatu,"1,22","71,76",1,2014,?pm=gDb492w+U/CjmBFT2JtSUA==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Excellent Maintenance Balikpapan,Jasa Service Komputer,"13,55","28,8",5,2014,?pm=wv1+PlYHzkBamGB1mfkFsg==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Toko Kaca Berkah,Jasa Pembuatan Etalase,28,120,1,2014,?pm=XMQMtfQnh9OjEjsoId3AMw==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Penjahit Samudera,Penjahit Dan Fermak Pakaian,208,8,1,2014,?pm=a6NXi+9DpF47UYm7AvmMsQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Lestari Fauna,Pelestarian Fauna,265,270,2,2014,?pm=ZpaIpjAV7gV/wRNr9MA35A==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Bengkel Hepi,Bengkel,80,"42,5",3,2014,?pm=yplgZswoXdBj22jPorW41g==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Jasa Jahit Pakaian,Menjahit,202,158,1,2014,?pm=gI33EEjan93t754UPlVvxg==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Pangkas Rambut Karya,Pangkas Rambut,"10,5",72,1,2015,?pm=imApgu2NodW18qaKw005uA==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya
 Bengkel Jai,Tambal Ban,183,20,0,2012,?pm=GdNAhAmFdYxOE/2xlzy+Rw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Warung Erna Wati,Tambal Ban,134,30,0,2012,?pm=7LihOmusTnrIIL89uDzWjA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Bengkel Nuralim,Tambal Ban,93,30,0,2012,?pm=0yTVQwvrPimS3PFPxCgauA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 RUMAH CUCI HAYATI,LOUNDRY,61,140,2,2011,?pm=r3sAnlKf6mLuxpmlwx1v5A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya
 Son Tailor,Menjahit Pakaian,135,"7,33",2,2009,?pm=+LDn7T8koHAA71pWaOa6Hg==&mp=2BbfzMJpZb2nANZ3GT30ng==,Kegiatan Jasa Lainnya
 Salon Sumarsen,Salon,"112,5","93,6",4,2012,?pm=6jZiIFKrf/sot/8b6ZnePw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Kegiatan Jasa Lainnya
 Tulungangung Electronik,Service Electronik,"16,74",49,1,2014,?pm=cz2HLf4NCDJs7Ke9ELattQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 UD Millian,Jasa-jasa,"423,3",160,4,2011,?pm=9QC9KIQsauETtW4dgps6eQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya
 SALON DAHLIA,SALON,"55,5",18,2,2010,?pm=oKTExik1ebI+dV1U3AOJ/w==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Kegiatan Jasa Lainnya
 Sablon Pauzi,Sablon,21,18,1,2015,?pm=O4lwXkj5WHCLDlBgGh3nfg==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya
 Purnama,Pakaian,24,60,1,2015,?pm=6BjsA8x9tZNDq/6R2dncig==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya
 UD. Latansa,Jasa Perbengkelan,355,2.400,0,2011,?pm=fceXHFfdymD4wvfagGvzzg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Kegiatan Jasa Lainnya
 Cucian Motor Danny Hermawan,Pencucian Motor,"9,7",50,3,2014,?pm=W3MnnDtZ/zhHzB2wfZIjMg==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Penjahit Paluna,Penjahit,"32,7",54,1,2014,?pm=LFEOlVBmoj6wJTweZYJasA==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 G.Aitech,Gas Assembling Installation Technique,"1.941,75",70,3,2014,?pm=j8+hcKPpn/KtHvEDJ6ufBQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Rina Fashion,Fashion,69,25,3,2015,?pm=WFmcwrmToyTKKeBOT3l/cg==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya
 Unique,Konveksi,573,24,2,2016,?pm=ohxQoSe07toWsmT6g6MH/g==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya
 Kembang Kamonesan,Kerajinan Tangan,180,48,10,2016,?pm=gXu0q3pUB7m+KrC64+S+rw==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya
 Zaenal Konveski,Konveksi,17,48,3,2016,?pm=ZAZ9bVF0kXU6tUzQioi7Gg==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya
 Warkop,Bensin,"60,61","60,48",2,2015,?pm=osUtUBkoFJKU5qBvhrBKsQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya
 Penitipan Motor P. Samino,Penitipan Motor,"10,2",180,1,2016,?pm=10DtbCV1I756BMTokwamdA==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya
 Penjahit Kurnia,Penjahit,51,72,1,2015,?pm=ofqWwloV06ajNrIZCJrUVg==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya
 Nurhayati Jne,Paket Barang,75,24,2,2016,?pm=4xTOpHvhTTwVUdZvdtKxaw==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya
 Bengkel Las Bubut,Bengkel,1.415,720,3,2016,?pm=epDnQfmCHXnSXnoqgkQc2w==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya
 Kios Pulsa Utami,Perdagangan Pulsa,"16,36","16,8",1,2015,?pm=ovIPTr0IzPNfks/WuV91IQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya
 Pondok Kelapa,Es Kelapa,"21,08","33,75",1,2015,?pm=DTIxaHoCNhOYxtEjfP6aCQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya
 Toko Plastik,Perdagangan,22,15,2,2015,?pm=dMyUzlH3aDUWaxOmlE5d6w==&mp=Q47xnX4Fmgxfelhgew2rrQ==,Kegiatan Jasa Lainnya
 Sahabat Service,Service Elektronik,121,72,2,2014,?pm=ab34mfxujUB2gyEFORonJQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Lintas Taylor,Penjahit Pakaian,18,104,1,2014,?pm=s1QnUf+MeP6xP8CFkhSBvw==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Penjahit Puput,Penjahit Pakaian,"4,5",54,1,2014,?pm=HEfCDmvB8xrU9hUU3USrkQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Pangkas Rapi,Jasa Pangkas Rambut,39,70,1,2014,?pm=BH2KZEGu7Ayvnso0w1cB5g==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Cucian Motor Suroto,Pencucian Motor,"13,2",40,1,2014,?pm=xJIOwVLFJhZKSot8mKNy+g==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Penjahit Syaiyah,Penjahit,200,18,1,2014,?pm=bNUNFFsvh4dCJjGEAyFkmA==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Rental Hamka,Jasa,"26,2","18,2",1,2018,?pm=wsB8Sr5xY/ClVnT2zcc6GQ==&mp=tFF9KAXBbci/UefzhiAg3g==,Kegiatan Jasa Lainnya
 Media Tama Service,Service Laptop,"35,5",20,1,2016,?pm=NXEBwkDd3YLe2kQ4JQE77w==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya
 Penjahit Abadi Psr,Penjahit,355,810,2,2016,?pm=W/RGCDUDVOE52MC7Epbj8A==&mp=5JdvraNzQnzSzI+hC9alEQ==,Kegiatan Jasa Lainnya
 Penjahit Erdian, Penjahit,506,180,3,2014,?pm=6+5rcITVmNfmsNpCmTpx2Q==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Rapy Collection,Menjahit Pakaian,"17,5",162,3,2014,?pm=7r4UPidT46Vd98NkFqgNMQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Salon Ella,Jasa Salon,21,36,1,2014,?pm=nR0Az0TGIpZ6JpJfW+doZg==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Anza Salon,Jasa Salon,"13,35",18,1,2014,?pm=Kv+UsbvzcVNa5urtEInnEQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Jihan Salon,Salon,"4,8",36,1,2014,?pm=LYlJKzA5i2Qpy4qRfpWLMQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
 Penjahit Jasmi,Menjahit,"37,4",9,2,2014,?pm=2ljGy7plSOJ2gCCLMV2ysQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Kegiatan Jasa Lainnya
