Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Usaha Jasa Angkutan Umum,Jasa Angkutan Umum,"66,2",324,2,2012,?pm=wgYf8ks5rCR0s+IzwgfoEw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Transportasi dan Pergudangan
 MASKUR JASA,SEWA DUM TRUCK,21.700,9.600,1,2013,?pm=7diSXEUwl7270Z/cyNkcyg==&mp=fOhzApotY5QnAtxxXvjAfA==,Transportasi dan Pergudangan
 null,Pengangkutan Barang,0,0,0,2013,?pm=TGb7ooHrsIsIy1b/LfJCTw==&mp=fOhzApotY5QnAtxxXvjAfA==,Transportasi dan Pergudangan
