Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Koperasi Buana Mutiara,Simpan Pinjam,"348,3","155,2",3,2011,?pm=lRWVjvODuaDl8CPtoR2yDA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Jasa Keuangan dan Asuransi
 KOPERASI RAHMAD AULIA JAYA,SIMPAN PINJAM,164,480,109,2011,?pm=okqx7h1F3F3aIF6JJKq00g==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Jasa Keuangan dan Asuransi
 Panca Lautan Cell,True Money,"90,9",178,1,2016,?pm=m9D6IpJklt5F7+UJyCZbbw==&mp=5JdvraNzQnzSzI+hC9alEQ==,Jasa Keuangan dan Asuransi
 Agung Cell,True Money,5,288,2,2016,?pm=aRgtNqk4Icrj1u7yShwPew==&mp=5JdvraNzQnzSzI+hC9alEQ==,Jasa Keuangan dan Asuransi
