Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Les Privat,Les Privat,15,"21,6",3,2014,?pm=jVOmpA5rA26w5FOl2mmH7A==&mp=xI6rAeQkygTAn3Z625IGLg==,Jasa Pendidikan
 Arys Course,Pengajar,2.085,1.620,1,2016,?pm=g4LBTZW2somDV0tTabdWLQ==&mp=5JdvraNzQnzSzI+hC9alEQ==,Jasa Pendidikan
