Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Les Privat,15.0,"21,6",3,2014,?pm=jVOmpA5rA26w5FOl2mmH7A==&mp=xI6rAeQkygTAn3Z625IGLg==,Jasa Pendidikan,Perorangan,3,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   90,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   10,00 %",Rendah,"Rp. 15,00 Juta","Rp. 21,60 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 20,00 Juta",3
Pengajar,2.085,1.620,1,2016,?pm=g4LBTZW2somDV0tTabdWLQ==&mp=5JdvraNzQnzSzI+hC9alEQ==,Jasa Pendidikan,Perorangan,1,Retail,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 2.085,00 Juta","Rp. 1.620,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 100,00 Juta",4
