Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 PENJAHIT ALFAD ,PENJAHITAN ,52,112,2,2012,?pm=HjZKEJjKQbil84GBqv+XTg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 CV. Fauzin Pratama,Foto Copy Dan Percetakan,725,360,9,2011,?pm=K2QYaTRPsHZqnvP3lKlD9Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Pangkas Rambut Sportif,Pangkas Rambut,3,30,1,2011,?pm=JikQIEjvlIo8WaIgsU55BA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Arjuna Foto & Salon,Fotografi,"366,2",615,15,2011,?pm=1CIP1GLDkWvfAKJv75AQew==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Pangkas Rambut Win,Jasa Pangkas Rambut,"70,2",102,3,2011,?pm=s+WdoMawt7ZQ436Qr0EIVg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 BERDIKARI OVEN TOBELO ,PEMBUATAN OVEN KUE ,396,600,4,2012,?pm=0JBLfPqwIFDmi5g4JcpzUg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 RIZKIA MOTOR,BENGKEL DAN JUAL ONDERDIL MOTOR,2.246,441,5,2012,?pm=hI3dLFRU3ZVd9puJEBwCIQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Rana Cell,Service Handphone,"93,5",22,1,2009,?pm=Hf1C4ii5e6Wuf5hnNqyWJA==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Jasa Profesional, Ilmiah dan Teknis"
 Dreamland Net,Jasa penyewaan Internet,"55,6",125,3,2008,?pm=v11HrDTtBWV1aUZFpsnrZw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,"Jasa Profesional, Ilmiah dan Teknis"
 Salon Fitri,Salon,"23,5",98,1,2010,?pm=qOkTbrj8tj9vWWku7He25g==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Jasa Profesional, Ilmiah dan Teknis"
 Crazy Net,Warnet,272,144,2,2010,?pm=TOMY18kufCsJidEOGI2kdQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Jasa Profesional, Ilmiah dan Teknis"
 Fajar Elektro,Jasa Servis,10,40,1,2012,?pm=QmiOjBrVB6dcA8cZ9plZhA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Salon Anik,Salon,1.047.000.000,160.000.000,3,2012,?pm=wfNM+ZP7DXs9Gn2PdZJZsw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 PENJAHIT METRO,PENJAHITAN,"113,6",300,11,2011,?pm=JV0j4UIGS800pLF3ItvSaw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Warnet Ferry,Warnet,30,20,1,2012,?pm=R+Dcd3fcERlWk0NzTiOJAg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Bengkel Las Langgeng,Bengkel Las,27,50,1,2012,?pm=k8BSigRNaB7ONZ5Altu69Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 RISMA PENGANTIN,PERIAS PENGANTIN,"197,1","35,2",2,2011,?pm=on9YWkFbgpoNC7Itt7WOEA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 KURNIA SALON,Salon,"18,2",48,2,2011,?pm=5Q83QHzkND4NglhHUQN5Sg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Caing Salon,Salon Pengantin,140,60,22,2011,?pm=ufUZhB6ZJKd9VKIp2TS+Ug==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Rema Salon,Salon,262,120,11,2011,?pm=xNLCToZhoe2rVu5IB6WXWg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 QUENS,JAHIT,"58,62","14,4",2,2011,?pm=5djHXmsM4gy33iVQDwBreg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 CV Alfitama Prima,General Contractor,404,800,10,2014,?pm=x7CA8kxmYbiAvnjvZqs6zg==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Profesional, Ilmiah dan Teknis"
 Konveksi,Konveksi,108.000.000,70.000.000,5,2013,?pm=3znji5ye4KnCBfczDA4DtA==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
 Penjahit Harapan Jaya,Jasa Jahit,44,36,1,2013,?pm=EraBFBWiGxX38y3oyMD8OA==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
 YUSTIN TAILOR,JAHITAN,"48,6",38,4,2010,?pm=RFqOnvcsIbL08GaYuS2ysA==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Jasa Profesional, Ilmiah dan Teknis"
 Penjahit Berkat,Menjahit Baju,"11,67","32,4",2,2016,?pm=vBtmEsPx1c8LCVJLo/znVg==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Hidayat Collection,Penjahit,"4,8",144,1,2016,?pm=q8+VyxgymNueHSwjTJlH6w==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Ramayana Tailor,Penjahit,"390,2",630,4,2016,?pm=a9wUKiKw+5+fRaYoruIo/g==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Percetakan Nabilla Mode,Stempel,18,300,3,2016,?pm=A8H36n78qXkdUNdAyDaGWg==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Rosilla Salon,Salon Rambut,"209,55",216,1,2016,?pm=5X8EbcKXcsjtL2JzLl/VEw==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Tailor Arto Moro,Penjahit,33,24,2,2016,?pm=1IO++oEqVlHpxp380asksA==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Jasa Profesional, Ilmiah dan Teknis"
