Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Pangkas Rambut Hidayah,Pangkas Rambut,60,48,2,2012,?pm=GmYYJs5qM2oHXekbqxOy3Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Victory Salon ,Jasa Salon ,20,132,3,2012,?pm=hvEV7a2nem/YuChEhgyE/A==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Sari Tailor,Penjahit,54,40,6,2009,?pm=cgkTFQZe76Qkof6BhesbIg==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Jasa Profesional, Ilmiah dan Teknis"
 DIAN  KURSUS ,KURSUS MENJAHIT ,"15,86","14,4",1,2011,?pm=08Irr2EClpa2pSqBWCWaOg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 PAY BK,PLAT BK,"68,71",87,2,2011,?pm=m4DOBnazufQFCWdQYvL0gQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Penjahit HUDA,Jahit Pakaian,"14,5",36,1,2010,?pm=iE7xxiL6YSQQ6P4ea6v3ng==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Jasa Profesional, Ilmiah dan Teknis"
 Pangkas Rambut Taulen,Jasa Pangkas Rambut,"10,08","27,9",1,2011,?pm=KVsicvhFrZ7JZo0adI1Kkg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Salon Tonno,Pangkas Rambut,"68,5",90,1,2013,?pm=gQq6K+zSiYYdYlz0K53mRw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
 Sunshinecitylight,Fotografi,"185,85",84,3,2013,?pm=8XJwY+loX1U2HR9pXfR2nA==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
 Pangkas Rambut Kaganangan,Pangkas Rambut,"55,6",36,1,2013,?pm=DtMvNUvxtEeIjOLTvbtvgw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
 Riyan Tailor,Konveksi(penjahit),9,"44,4",2,2010,?pm=beRgqzypK6vs8yy36F9H1g==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Jasa Profesional, Ilmiah dan Teknis"
 Penjahit Camel,Penjahit,"18,5",90,3,2013,?pm=zVreIGKTSdMUsZGDegBC+w==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
 Dinda Salon,Salon,"2,5",24,1,2013,?pm=/L91VCACxNuLm+Qg29hXnQ==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
 Robana Tailor,Penjahit,"475,8","13,5",1,2013,?pm=IIsNJKYqTR6Zn3Iw9wlo5Q==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
 Permak Levis Artomoro,Jasa Jahit,38,144,3,2010,?pm=FS1gfR+64yQYEYTFofxH2g==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Jasa Profesional, Ilmiah dan Teknis"
 Siti Taylor,Penjahit,68,"29,3",1,2013,?pm=I/n9Nh7BGjm7OSWdckVHHQ==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
 Servis Jok Penjahit Pria & Wanita,Servis Jok dan Jahit,"7,5","28,8",1,2011,?pm=bl9TlqoqPKS6g3GB+0Xzow==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Tailor Mira Colection,Tailor,29,204,3,2012,?pm=cL9FSh1Sggxzm2vH00GHvg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Salon Umi,Salon Umi,"31,8",204,1,2011,?pm=SxCoXIY9tAsDLPOfMyDCXw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Pangkas Rambut Sama Jaya,Pangkas Rambut,102,180,2,2012,?pm=Q3fMVzLJOyUF9jYOHhD7zw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Penjahit Saipul,Jahit Pakaian,"15,5",84,1,2010,?pm=5Q7tfCoSKR1rnFneISolPg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Jasa Profesional, Ilmiah dan Teknis"
 DJava Net,Warnet,"130,75",60,1,2010,?pm=J+JmpytzgZdRgmE2H6uhlg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Jasa Profesional, Ilmiah dan Teknis"
 Bengkel Las Roni,"Usaha Las Pagar, Kanopi",14,44,2,2012,?pm=zvX6EJRxmE+dsCqrsjvbgA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Lestari Glass,Ukiran Kaca,19,35,2,2012,?pm=Sx4drn/jQvfl7Qsm/ix53g==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Bengkel Las Oki Muba,Bengkel Las,"46,5",204,2,2010,?pm=xqCSO5fGuY3fpJlQvUoTGA==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Jasa Profesional, Ilmiah dan Teknis"
 Penjahit Sahabat,Penjahit,"6,5",180,4,2013,?pm=6QMsNfWVQ4RXwZOuV7I1hg==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
" Penjahit Celana ""Anhar""",Jahit Celana,"18,6","86,4",1,2013,?pm=AMLNpJE78v0J0j/L0DoQHw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
 UMMI PONSEL,SERVICE HP,425,138,2,2012,?pm=tMAJnqSJ33YXsTdzuDae9A==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Penjahit Ahulu,Penjahit Pakaian,7,63,2,2012,?pm=V6DscPEXTgQ+nO0GKgQWJg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Penjahit Simpati,Penjahit,132,180,1,2013,?pm=Ff4CSUXC9hxKMGrbzQNLDw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
 Suarni Dakhi Taylor,Penjahit,131,20,1,2012,?pm=Jv7XXihqQCqmA27dsAyKXQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Penjahit Amoniko Demus,Penjahit Pakaian,125,60,2,2012,?pm=aMU72MCt3+QZMOiompmV+g==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Penjahit Sanora Art,Penjahit Pakaian Adaat,16,216,4,2012,?pm=DJOXEW46uKrym0l9O0gKNA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Service Ganumba,Service Dinamo,114,60,3,2012,?pm=iP3TX9mA9AWtlV8LVVyPqA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Alone Net,Jasa Warnet,159,48,1,2010,?pm=xjBaNAURnYT+DRQe7C9F4w==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Jasa Profesional, Ilmiah dan Teknis"
 Levis Taylor,Jasa Penjahit,0,0,1,2012,?pm=cph9RKTCMCs5umv2Nnuyww==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Profesional, Ilmiah dan Teknis"
 Warnet Erin,Warnet,"54,5",54,1,2011,?pm=f+5LoZRzoeWN9Kv6WyDFvg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Penjahit Suwarno,Jasa Jahit,"54,6",102,1,2013,?pm=bCYyVfrEfmK/HhCKE5cWkw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
 Mode Net,Jasa rental Internet,107,123,2,2008,?pm=S7zxQseRWElE4UTIJJcopQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==,"Jasa Profesional, Ilmiah dan Teknis"
 Fortuna Jeans,Jasa Jahit,24,116,2,2013,?pm=BsPIT3AgBlW9ufZLWqlrjQ==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
 Merci,Jahit Pakaian,"75,6",140,1,2011,?pm=MMdoJwIgBwODwNd1sYUWBQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 AKMAL TAILOR,PENJAHIT PAKAIAN,"2,7","17,4",1,2011,?pm=NZw/1hGljm99Cq63lkIIqw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 IDOLA TAYLOR,JAHITAN BAJU PRIA,60.200,5.600,3,2013,?pm=G8OM9RU1FA1lE4d26wjduw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
 Usaha Las,Usaha Las,"13,5",94,1,2010,?pm=cL9Eu9Qgi74owrCQbguGHQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Jasa Profesional, Ilmiah dan Teknis"
 Usaha Fotokopi,Usaha Fotokopi,21,70,1,2010,?pm=277UsXysXcMcBeJUtZk8nQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Jasa Profesional, Ilmiah dan Teknis"
 Foto Copy Sunarti,Fotocopy,"911,5",234,2,2011,?pm=jP9okpp72qzLahDPkC5NZA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Profesional, Ilmiah dan Teknis"
 Tambal Ban Siburian,Tambal Ban,45,127,1,2013,?pm=StJV36wnWYqLFEqES3jGaw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Profesional, Ilmiah dan Teknis"
