Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Ibrahim,Jualan Ikan,10,22,1,2011,?pm=l4nHEpqJbOhFLjewEl6iSQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 M.Daud,Budidaya Lembu,23,340,1,2011,?pm=typ0xkHp9xqZ3O3gMwR82A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 M.Jamal B,Giling Bumbu,17,200,2,2011,?pm=EsQ/31iyX2bM0iXOhJo7IA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 Jayusman,Pakan Ternak,9,84,1,2011,?pm=7QOpF9Gp7XoQSQasVhs3Yw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 Yusdar Hamid,Soevenir,10,189,3,2011,?pm=2d8OKMngKcxnUGVhjGJqFg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 Zulkifli,Air Tebu,5,48,2,2011,?pm=RpTBuwFXpk0U+svpbtrrNw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 Zulkifli,Pertanian Sayuran,5,1,3,2011,?pm=RlR/Krifi75XoGo535yyMA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 Usman Ali,Pertanian Sayuran,652,7,2,2011,?pm=XENjH1A/A5nnRhWEb/6NkA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 Syamsudin M.Ali,Pertanian Sayuran,501,14,3,2011,?pm=2b89b119CNCbmTmeGtFrbA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 Pembesaran Ikan Pak Habib,Pembesaran Ikan Nila,3.368,7.000,1,2012,?pm=+JFnDgVpk1FbmczDyVzjtQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Tembakau Rajang Sulardi,Tembakau Potong,24.500.000,"290,5",2,2011,?pm=ykfikupFMdFLA5dGk5JT5g==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 Saryadi Puyuh,Ternak Puyuh,21.950.000,"172,44",1,2011,?pm=dznHXMDHylVOh8iJfZjOTA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 Bibit Kates Suryono,Bibit Pepaya,47.000.000,117,2,2011,?pm=wWAwT15VJ6TyNnB43q3xkg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 Pembibitan Dan Pembesaran Nila Suparto,Pembibitan Nila,3.798,7.920,2,2012,?pm=f0YE9RBMaWtsRBw63LOdQQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
" Pembesaran Ikan Nila ""suparno""",Pembesaran Ikan Nila,2.361,7.200,1,2012,?pm=bQQ6HyJl8PDxzWLuiziMXQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Pembibitan Ikan Nila Pak Khoirul,Pembibitan Ikan,428,4.596,3,2012,?pm=6QBXdNDJ5KNv1tgUFEH7rA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
" Budidaya Ikan Lele ""Susilo""",Budidaya Ikan Lele,7.450,17.780,1,2012,?pm=pZ7EKvC+Tuocuf6dTKIuSA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
" Budidaya Ikan Lele ""Bakdi Royani""",Pembesaran Lele,1.030,1.452,1,2012,?pm=z+hXroq6PHUUTKh8d5eswA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
" Pembesaran Nila ""Zubaidi""",Pembesaran Nila,2.679,4.955,1,2012,?pm=3cUPOvAp9Nn6eqSpf6DR0w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
" Keramik ""Usman""",Pembuatan Keramik,580,1.980,1,2012,?pm=VFCbeNdPQ38GApmEpjQFOQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
" Keramik ""eko Tri""",Pembuatan Keramik,940,3.540,2,2012,?pm=DoP4nDSNVvvbAhKJyr8+Tw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
" Budidaya Ikan Nila Merah ""Dulkayi""",Budidaya Ikan Nila Merah,1.170,9.510,4,2012,?pm=D8nAdAm02v8eN47eBX0k2w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Mina Lancar,Budidaya Ikan Nila Merah,1.010,9.510,4,2012,?pm=vs11y9iCH5G0mOnDe2rm1w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Muhammad Irfan,Budidaya Jamur,56,"135,6",5,2009,?pm=8w+b8plnb1vWkpLmR9DhGw==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan"
 Sri Unggul Barokah,Pertanian Sawah,64,27,5,2013,?pm=XPoSWbJieGDMb32rGws4kw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan"
 USAHA PENGASINAN IKAN,PENGASINAN IKAN,6,126,7,2012,?pm=5Qc5L5H84II89hEgXF80Jw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Not Available,Budidaya Ikan Gurame,20,250,0,2011,?pm=zSou+5z3yD2N51IEIwxY3Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 USAHA KARTUN BEKAS,KARTON,5,30,1,2012,?pm=zMLyE6up5XeTc4XXoR5htw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 USAHA PENGASINAN IKAN,PENGASINAN IKAN,5,90,8,2012,?pm=A0WZDDrrvkpJL5nGYiXYFw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Usaha Pengeringan Ikan,Pengeringan Ikan,"3,5",48,2,2012,?pm=TBR4MG9V3/RnZSGrbO2kEg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 BERKAT,DAGANG IKAN,"75,5",36,3,2010,?pm=umK25rpEjrpZErUrCQUkXQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Pertanian, Kehutanan, dan Perikanan"
 Kolam Ikan,Kolam Ikan,156,78,1,2009,?pm=Yzsh37A4dWeSWciVZiBEQQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan"
 Pabrik Penggilingan Padi,Usaha Penggilingan Padi,575,120,4,2009,?pm=CR+mg4iBsFxspyhX326jNw==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan"
 Depot Kembang 3 Bersaudara,Usaha Penjualan Tanaman,634,400,2,2010,?pm=WnjV4glmm6M8vrcqE5anBA==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Pertanian, Kehutanan, dan Perikanan"
 Depot Kembang Harapan,Usaha Penjualan Tanaman,"137,5","47,5",2,2010,?pm=h1zSqlxvyJjL1GrJTeNhVQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Ama Noio ,Petani Karet,88,15,1,2012,?pm=DAikxmIRioUxy05zaxwTMw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Yatiria,Petani Karet,182,36,2,2012,?pm=odEBX1wy5YgbOK8+yHDsPQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Nelayan Geliyudin,Nelayan,91,24,1,2012,?pm=vvWM2D9ZTqgocCietNUfRA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Basilai,Petani Karet,111,18,1,2012,?pm=TH64+6heBp0Yz2d5k1ojVA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Peternak Babi Metaliaro,Peternak Babi,62,78,2,2012,?pm=2blb0U4FpQLyXitwuIrEtA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Elti,Kpetani Karet,51,26,1,2012,?pm=uqIIuZWKjRvH+NGOwbqiNA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet & Peternak Babi,Petani Karet,32,20,1,2012,?pm=7Ct7paEHiam/JKGrZlNQgA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Petani Faroroha,Petani Padi,62,15,1,2012,?pm=KIghxD5fc45uO7JolCtXrw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Nelayan Pukat Keinsafan,Nelayan Pukat,71,50,1,2012,?pm=MNWbYh/4QPIM/T4jiJUmCQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Aturai,Petani Padi,71,20,1,2012,?pm=hye0a7lzSG8Ebyubyadn5w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Idaman,Petani Padi,66,65,1,2012,?pm=/zcdTTi3RjUOOUanaTsI6A==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Dan Nelayan,Petani Padi,50,15,1,2012,?pm=mDIJB5reS80Der51eZa4+Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Alfan,Petani Padi,101,16,2,2012,?pm=vP1k3/DAZKRZ2fSOIYmZoQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Peternak Babi Fainota,Peternak Babi,112,60,4,2012,?pm=HMTq3citFyEagub9lRIkEw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Karisman,Petani Padai ,89,40,4,2012,?pm=Pt30mIDd48XZT571uSHO6Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Coklat Dan Karet Ramambawo,Petani Coklat,160,65,2,2012,?pm=SL2OzOX8+qiR2bp196U0iQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Usaha Ayam Potong Hasanago,Usaha Ayam Potong,112,50,2,2012,?pm=TAy0GdHY6Y9B5qqhzvj4tQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi & Peternak Babi,Petani Padi,156,75,15,2012,?pm=03qL+zcAgb0ndrWxV91oQA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Remida,Petani Padi,66,20,1,2012,?pm=CXRU6Des/JKq83iYK6abzg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Rosmaini,Petani Karet,101,15,1,2012,?pm=xXNCxV1oQW8Vm9YVN4K/5g==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Nutini,Petani Karet,201,20,2,2012,?pm=12XOCoeEZDN/eyJQlJw1Qw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Anolifa,Petani Padi,262,24,5,2012,?pm=xsfHQiAjvlulRteOL5M+hQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Yustina,Petani Padi,367,85,10,2012,?pm=v62+nW6JIZphDX+AExkasA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Hidayat,Petani Padi,552,45,2,2012,?pm=tIJPTTn+2HuoPJ/s/ATmcA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Waspada,Petani Padi,201,36,2,2012,?pm=ATWLW9gg7I2YZN79a2SyuA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Nelayan Niota,Nelayan Ikan,111,28,2,2012,?pm=L0hq/svcv8iFKNpP/7U5dw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Tolohi,Petani Karet,151,24,1,2012,?pm=uh4QIf5RqQ0a4l2IGME8sw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Tradisi,Petani Karet,51,15,2,2012,?pm=SwWxiERV0mvA2cCHZR+wHQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Imin,Kayu Gelondongan,191,226,3,2011,?pm=s7RC8wXshGFVLPJyBKjr3g==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Rom,Petani Karet,259,26,1,2012,?pm=HjSY7dYtNDxoHslWXgbZUw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Serlin,Petani Karet,101,15,2,2012,?pm=TLPWuHoe9xCV8U+YoHdinA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Irman,Petani Karet,302,40,1,2012,?pm=AxLpipQQ7yuOHkuula/X2Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 USAHA RAKYAT MEKAR ASIH,Ternak Itik,338,912,19,2011,?pm=SEwBaFjbhmUjQCBoFeqCQw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Saota,Petani Padi,203,108,2,2012,?pm=6ldbTGfryIWFhENNWn4WXg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Sarumaha,Petani Padi,203,42,5,2012,?pm=l9V+mPYaJbDooC4c9mxnng==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Sudi Hati,Petani Padi,60,20,2,2012,?pm=g3G9x84+GBPDUOPHriZ6eA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Sadariang,Petani Padi,201,15,2,2012,?pm=yUIKCvCgI6b8JJRvbjxA7g==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Zega,Petani Padi,61,16,1,2012,?pm=JMAI5UaMIuqDJpuXsfGfdw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Tasuku,Peternak Babi,64,48,2,2012,?pm=9AKw89kic7n2ygCf0HGIuA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Nelayan Tasuri,Nelayan,47,48,2,2012,?pm=HSmDhrSmC4u2ctpJikOWMA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Adrianus,Petani Karet ,79,24,2,2012,?pm=B/9vxEo26Fmy5lx6WIJ72Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Bajisakhi,Petani Karet ,105,18,4,2012,?pm=dnU+CioiMW3kIkSS6KyFig==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Bazrotei ,Petani Karet,106,35,1,2012,?pm=zpj/Mj44Xeg9WeII2cSF/g==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Risima Bali,Petani Karet,52,19,1,2012,?pm=sUXZJvBOWnAVOXRVOIrknA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Sinura,Petani Karet,80,22,1,2012,?pm=w6Hl2BqbTg2fR8mJSRlu3Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Nasib Murni,Petani Padi,33,20,1,2012,?pm=o9ox3asJi41BzF/lO3rO6Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Padi Sarumaha,Petani Padi,35,54,1,2012,?pm=+bFvf0HzsAWkh262rkGibg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Daligolo,Petani Karet,89,44,1,2012,?pm=vOVfMLXjTjcbmh3ffPBFhw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet Namikasi,Petani Karet,64,42,1,2012,?pm=c625XXTg20ER2XzDsMxITg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Peternak Babi Sedih Hati,Peternak Babi,25,26,1,2012,?pm=5BmuT9w8bdadXWnwJwCozw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Nelayan Eli Yakin,Nelayan,32,62,1,2012,?pm=+pF0WEFbHsTKVg1GMCee8A==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Nelayan Bajo,Nelayan,37,46,1,2012,?pm=u7GuNeBJx3Lp48u8ShYuVw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Kolam Mujaer Dotamana,Kolam Mujaer Dotamana,0,0,4,2012,?pm=gaaE17syPOR5BFwsiavWHg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Taruna Budaya-Ternak,Ternak+jamur,"4,25",53,30,2012,?pm=FolKfpxHEfpZDAeLROzpmA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Warung Kopi,Warung Kopi,"27,25","33,75",2,2009,?pm=WzbWQcWyXpHuege9yfzFCw==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan"
 Siti Naimah,Penyembelihan Sapi,685,4.000,4,2009,?pm=neS1e7A9+z0wi1A0WCYjIQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan"
 Abdul Malik,"Jelly "" Lidah Buaya ""","122,81","69,12",3,2009,?pm=YURfZcuBCQapHigoKdrS0w==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan"
 Yulita Surati,Sambal Pecel,93,210,5,2009,?pm=y0akt9aCRnBmq8kkdJfzsw==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan"
 Juri Harsono,Pakan Ternak,"135,7",456,5,2009,?pm=IuIxLSDbVgssd+jafBN6Fw==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan"
 Indana Mardatilla,Pembibitan Anggrek,"44,55",240,2,2009,?pm=5by1kHiSH0X2fBcT64tIiw==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan"
 Nur Rokim,Krecek Krupuk,"275,28","102,4",12,2009,?pm=iWz8imGBw81btBKhrH31aQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan"
 Ternak Itik,Ternak Itik,99,86,4,2009,?pm=W6YiTo9NvEwjt8FAbcRDtA==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Pertanian, Kehutanan, dan Perikanan"
 Usaha Bersama,Ternak Ayam,"84,31",600,12,2012,?pm=dvpYgcR5exR113a5dNQj5Q==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 PENGUSAHA BUNGA,FLOWER,110,280,3,2012,?pm=vPjtjkJ0I+nHQuHsLiuMWg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 RUDIANTO,PADI,70,192,6,2011,?pm=kgO2V5CocsgXZADwq2QGrw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 RAFASAH,PERTANIAN,118,30,3,2011,?pm=ASKfBlBamWAzkZVI7/p8JQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 SUYANTO. W,PETANI SAWIT,63,18,1,2011,?pm=Fjup/rtc5FI7omBqRLwV7Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 SAIMAN,PETERNAKAN,67,36,2,2011,?pm=Zd6YtqRZfwUf3JjdfM4IVQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 TG. DARWAN,PERKEBUNAN,75,27,1,2011,?pm=C5Te4WakJxgnBQYuuuk5zg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 SURATNO,PERKEBUNAN,132,36,3,2011,?pm=Lp6Mk4LpGqK7FCHPRW8qgA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 SALAMUN,PERIKANAN,117,26,2,2011,?pm=/BzefVlB71q02CeKmRaB6Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 PONISA,PERTANIAN ,67,16,2,2011,?pm=gb1lrYNHNGC62lH2rVt6mw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 SAMPIRNO,PETERNAKAN,55,19,1,2011,?pm=Hb7txaVXmLj/B2NSw51+uQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 BIBIT,PERIKANAN,54,72,3,2011,?pm=LN83fmoFWkgIMknuQQfM/A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 SARWAN,PETANI,188,9,5,2011,?pm=aE+FQ22pnQ/f7Do/4+4hfg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 SUAMANO,PERKEBUNAN,32,20,1,2011,?pm=l3Q7DWVvvUYficaTYDTygw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 JUNAIDI,PETANI,27,11,1,2011,?pm=cL/MkTADe25xHSyO8tPHuA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 YUSDI,KERAMBA,9,144,1,2011,?pm=zLHpXt5tq1BRf1KUdUZ5GA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
