Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Kios Peracangan,Pupuk,361,325,1,2012,?pm=w+TTKcEqnkNI9YbhGbMmvQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 CANDRA KIRANA,Rumah Makan Ikan Bakar,883,"339,99",15,2011,?pm=CA08PINKsin/6alrAeDstw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 Kangkung Gn IV,Kebun,"201,7",3,2,2013,?pm=YBRDVhPEXPvgyjIf8iKi3Q==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Karet,Perkebunan Karet,"22,5",9,1,2014,?pm=4kARD7cKc9cXw4CeMceHUA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan"
 Pekebun,Tanah Palawija,"91,1","44,4",1,2014,?pm=E1ITtDbwqRPZuksVEFmwew==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Gambas,Petani Gambas,"71,03",17,4,2014,?pm=7hWxUQ5kPmkI8kMsbzTn8Q==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan"
 Pekebun ,Tanam Palawija ,"91,1","44,4",1,2014,?pm=iFxXTF/Kc1+6PaP2aWka6w==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan"
 Petani Cabe Keriting,Cabe Kecil,"65,35","44,5",4,2014,?pm=3Fie1S2thQxGhb/fQw8dhA==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan"
 Kelompok Ternak Kambing Jawa Randi,Kambing,43,24,20,2012,?pm=129ay9DMS1ouNhuJJaxjoQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Nelayan Ikan,Perikanan,"31,2",15,2,2014,?pm=UV1DIrCnRtIqzeBjmFsK1g==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pertanian, Kehutanan, dan Perikanan"
 Tanaman Hias,Produksi Tanaman Hias Dan Mediasi,27,104,3,2012,?pm=x22QiwL9U6+yiQffkn6d5w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Pertanian, Kehutanan, dan Perikanan"
 Yusri,Udang Dan Ikan,82,80,2,2011,?pm=ZKL7AR2iYCXuBvfe6jyFKg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
 Syahrial,Budidaya Ayam Siam,9,13,1,2011,?pm=JB/zE1iraPBEDn+yfD5RIg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Pertanian, Kehutanan, dan Perikanan"
