Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama : Produk Masal,Target Pasar Utama : Produk Spesifik,Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
Depo Air,"255,7",30,3,2014,?pm=Uo+Vdg6f/nk/PX7k0tRnZw==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",Perorangan,3,Retail,"Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 255,70 Juta","Rp. 30,00 Juta",- %/Tahun,"Rp. 5,00 Juta","Rp. 80,00 Juta",4
Isi Ulang Air Galon,"65,8",70,2,2014,?pm=GnR34FsTgFqLzuf9qaygKQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 65,80 Juta","Rp. 70,00 Juta",- %/Tahun,"Rp. 2,00 Juta","Rp. 300,00 Juta",3
Isi Ulang Air,"85,25",40,1,2014,?pm=Hwzd7Jnlya43eNuqwKs48A==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",Perorangan,1,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 85,25 Juta","Rp. 40,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 33,00 Juta",2
Isi Ulang Air Mnum,"118,17",37,2,2014,?pm=/a0+MlEMyqr02WtlUoAfsg==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",Perorangan,2,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Rendah,"Rp. 118,17 Juta","Rp. 37,00 Juta",- %/Tahun,"Rp. 10,00 Juta","Rp. 55,00 Juta",3
Jasa Pengisian,384,72,2,2016,?pm=SoL21q0dMVE3fS2h2qPRYw==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",Perorangan,2,Distributor,"Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %",Rendah,"Rp. 384,00 Juta","Rp. 72,00 Juta",- %/Tahun,"Rp. 8,00 Juta","Rp. 1.150,00 Juta",6
Penjualan Air Galon,"12,3",30,1,2014,?pm=o544IaRA2BszFegzYeutyw==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 12,30 Juta","Rp. 30,00 Juta",- %/Tahun,"Rp. 6,00 Juta","Rp. 10,30 Juta",4
Air Pompa,37,100,1,2014,?pm=mZnhwXfkFr+m2PU2jc4thQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",Perorangan,1,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,"Rp. 37,00 Juta","Rp. 100,00 Juta",- %/Tahun,"Rp. 8,00 Juta","Rp. 35,00 Juta",3
