Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Salshafa Collection,Penyewaan Pakaian Adat,299,"6,25",2,2011,?pm=ahr7SqmtfGtG4t96E+BmbQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
 Kos Yuslih,Kos,351,45,2,2014,?pm=fbbxzbFfM/hqF0vQcbbETQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
 CV Rouli Jaya Mandiri Tour & Travel,Penjualan Tiket,"18,5",24,3,2014,?pm=9/lAvK+azkPXHdZChPBCyQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
 Sewa Tenda Mugi Lestari,Jasa Sewa Tenda,205,42,5,2013,?pm=eQnVAGq6njrT2cFHD40qnw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
 Wisma Raffi,Jasa Las,"19,1",210,2,2011,?pm=G9ZBsPElzAaJruOhFmS54g==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
 PAUZI AGEN,AGEN KENDARAAN,5.500,68.000,1,2013,?pm=0+l5bjE5bwnFhaJ12+l+Fw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
 RUMAH KONTRAKAN,RUMAH SEWA,1.200,14.000,1,2013,?pm=tkXjvqc0J1cpt3FcqWQjZw==&mp=fOhzApotY5QnAtxxXvjAfA==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
 KOS KOSAN IBU DIAN,TEMPAT KOST,400,48,1,2012,?pm=fN7+cQv1Ii9/a+l7rWQoJg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
 Prima Taylor,Jasa rental Internet,7,104,2,2008,?pm=q19zn/bgLVgDf9rzGn4+gw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
 Rental Dandy Disc,Rental & Jual Kaset DVD ,"274,7",25,1,2009,?pm=Sh0bQ9pGqXlI1yinfi7xnw==&mp=2BbfzMJpZb2nANZ3GT30ng==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
 Dewa Rental Playstation,Rental Playstation,660,48,1,2012,?pm=HBsyT9FAM7k5MIcvSzPilQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
 Kos Naura,Kost ,"84,2",42,2,2014,?pm=JvbUWOMEhMRUB8g5OTaYkQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
 PT. Pedoman Travel,Jasa,"510,1","161,46",13,2011,?pm=uIJtVCs4v+Akw3PcTAlD3A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
 CV Dimas Pratama Jaya,Ekspedisi,"380,2",288,2,2016,?pm=v4/7lM6HUKBw9tCWXY2w9Q==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
 Widya Collection,Sewa Baju,"295,5",310,2,2016,?pm=+6kRmD/IV86LxhwR3dBHhg==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
 Kontrakan Rifqi,Kontrakan,225,18,1,2016,?pm=Xk8x5hGXUtCi9fHxTm1BuA==&mp=5JdvraNzQnzSzI+hC9alEQ==,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya"
