Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Kios Umi Ria ,Kios Sembako ,67,199,3,2012,?pm=18Ra+p37koex18ssSxujmQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Vira,Toserba,161.175.000,20.600.000,1,2013,?pm=a1TwIwjKOuQoLOGHjvKO/A==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 UD. Maju Jaya,Pengepul Barang Bekas,152,470,2,2012,?pm=xB3sN0/L2IZ8xZqH8ebrSw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Lisna Cell,Cellular,44,96,1,2011,?pm=AJKS3cEFI96xsNeEXcGuZA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Depot Isi Ulang Air Minum Aisyah,Depot Air Minum,"23,5",72,1,2011,?pm=2wIAdxgU7NXruuO5V8azXw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Pak Mukayat,Dagang Kelontongan,"14,5",216,1,2011,?pm=U2+gM6nKtke97z40OhSo8A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Kelontongan,Dagang Kelontongan,"7,3",120,1,2011,?pm=X/j5ShAJvZFaoXW5sm1TCQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Simarmata,Warung Kelontongan Dan  Pulsa,35,240,1,2011,?pm=1pC3uKYgc2F3pDgevRbb2A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Aneka Jaya,Dagang Kelontongan,27,270,1,2011,?pm=3PSgPdYQURppXk7AGwG3ig==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Manisan,Jual Manisan,"63,5",26,2,2011,?pm=4lI0kODB075BAyFM6BoHkg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Alat-alat Pertanian (suwarsih),Dagang Alat Pertanian,"46,5","148,8",2,2010,?pm=+oT6Kd49BcPf1KvVmNMFXw==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Kios Jajanan Pasar,Dagang Jajanan Pasar,11,"118,8",1,2010,?pm=NCQS+ZgjIogup5HYhqzJUg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Kios Dagang Pakaian (sutinah),Dagang Pakaian,87,156,1,2010,?pm=Pd+aaAsPN776Zr0zcsQyJg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Kelontongan (yuliani),Dagang Kelontongan,23,216,1,2010,?pm=hb8vec4ZzjU+ezu6Hi/3xw==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Kios Buah (imam Masum),Dagang Buah,20,216,1,2010,?pm=xx4r6bwSocsvMcCYEKf9Qg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Pakaian (simah),Dagang Pakain,38,177,1,2010,?pm=e8CcqBQ7gwLuSm2KekEQKQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Lapak Dagang Ayam (suwarni),Dagang Ayam,23,540,1,2010,?pm=2lxHSCN5AQ28QBGYHasOLg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Kios Ayam Potong (Sunarti),Dagang Ayam Potong,"7,3",288,1,2010,?pm=XgaL1rPzPfDYl5MhUpwvHg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Sembako (Yesita),Dagang Sembako,27,372,1,2010,?pm=8DNbJulRc6A5uJHCt8CBQQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Sepatu (Listika),Dagang Sepatu,"17,8",100,1,2010,?pm=2eVyC+ovQiGMst1jEESQ3g==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Kios Buah (suhartatik),Dgang Buah,"9,5","82,5",1,2010,?pm=Rv+snbBqRwwOrVKa3Lwx1A==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Kios Aksesoris Dan Mainan,Dagang Aksesoris Dan Mainan,10,105,1,2010,?pm=k+5noy3WqV48ZiZZRpNRFw==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Amanah,Toko Sembako,119,960,1,2010,?pm=JoVl3MV+HvK4lMOrvPulSQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Pak Suratin,Warung Sembako,"57,5",294,2,2011,?pm=BS0/7P0nAQZ/bFQ09bOe/A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Penjahit Safari Balikpapan,Penjahit,55,72,2,2013,?pm=+T+2z/UDq9x+KZ4yGez7Bg==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Fandy,Toko,320,180,2,2013,?pm=knHAJisASl62UpOvjBL2uA==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Rendy,Toko,130,420,3,2013,?pm=wiNbKt3UeHLL0iRQ9zQ2Og==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Vcd Dedi,Toko,12,173,1,2013,?pm=96fQt9znnXpvBujH6Prwyg==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
" Isi Ulang Air Mineral "" Opung """,Isi Ulang Air Galon,"283,5",144,2,2013,?pm=oxEZS0i5V2dwxRrFTrtYPA==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Perlengkapan Rumah Tangga,Toko Perlengkapan Rumah Tangga,20,"174,2",1,2010,?pm=YNb4bjgK/zJoddwn4Y9N/w==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Century Cellular,Counter Handphone,78,780,1,2010,?pm=KG8BspIHFFmqnrzBUNPbPw==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Pondok Soto Khas Jawa Timur,Soto,25,312,2,2010,?pm=xPe+KhJR0C6h7ULU4BngrA==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Bu Wito,Toko Kelontong,391,360,1,2010,?pm=TmCQjhfqgSbvzonAKbsOLw==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko AA ,Toko Kelontong,"61,5",450,1,2010,?pm=x8TbrF9ACQCY2EPH3jJxPg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Diamond Tailor,Jahit Dan Textile,"43,5",270,3,2010,?pm=ZPwvrb9NgdqM7q65j/247w==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Fadli Jok Motor,Reparasi Jok Motor,"16,5",108,1,2010,?pm=0pcs0m6lZMEaB/R2lRN4ig==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Bengkel Las Pakde Mamad,Bengkel Las Alumunium,"79,5",168,4,2010,?pm=ZKCDUrl75r65zsyakCqjDw==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Bengkel Purba,Bengkel Ban,55,270,2,2010,?pm=FbcfH7yZoj2bbzSBhZREYg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Jamu Sidomuncul,Toko Jamu,"31,5",108,2,2010,?pm=MP7K2EtPOCzLtx/QBs2Y7w==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 HAMDAN CELL,TRANSAKSI PULSA,2,63,1,2011,?pm=j4Dz1VZut4dYtn2uHf6CCA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Sahabat Optima,Toko,23,180,2,2013,?pm=LvmwRqr5oaUdtuexZ8vlSA==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Nasi Pecel & Tahu Tektek Asli Jember,Warung Makan,"10,4",400,3,2013,?pm=Mb55eO7lMgHXwd9JNYGuGw==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Cokro,Toko,17,216,1,2013,?pm=HLyne6UWm6TEragXinOSOQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 AG Fotocopy,Fotocopy,"59,25",144,1,2010,?pm=gE/5+cJIob7Xn4EeeY82bA==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Kue Restu,Kue Basah,121,450,1,2010,?pm=hjMR6AwVp0ZzDS2mlhbm/A==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Eky Sport,Toko Sport,"19,9",180,1,2010,?pm=bwAsSzBCrATl63pKSni5Aw==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Bengkel Pely,Bengkel Ban Motor,34,144,1,2010,?pm=82PUI6UbAYjK2WwNIvqDfA==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Loveary,Industri Makanan Coklat,"112,5",86,4,2009,?pm=uyGo5xjJ2GJFbqQIwGxmyw==&mp=2BbfzMJpZb2nANZ3GT30ng==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Es Rumput Laut Fathir,Dagang Minuman,"13,1",72,2,2008,?pm=fD5WTbHfR+RbheL+9ont/w==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Pondok Buah,Dagang Buah-Buahan,14,108,1,2008,?pm=cmDLwLeyB/0zhEjc228Leg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Mail Ponsel,Dagang Voucher Handphone,23,108,1,2008,?pm=uAU6gAUtK/ZGiNfmJx+Oyg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 UD Cemmara Coffe,Makanan Dan Minuman ,"9,85",96,2,2014,?pm=hj4yU5gla3JBOATD6PFFSg==&mp=xI6rAeQkygTAn3Z625IGLg==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Junaedi,Toko,5,12,2,2013,?pm=rM5Wrp0G58tB9rGUwhvKFA==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Latifah,Warung,"14,05",20,2,2013,?pm=/k+N1H0ES1BE7UhnberNxw==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Jualan Kelontong ,Jualan Sembako ,"125,5","40,8",1,2014,?pm=w699K+fIzb+GtQUkYQSUmA==&mp=xI6rAeQkygTAn3Z625IGLg==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Lontong Bu Rafiah ,Makanan Lontong ,"3,82",72,1,2014,?pm=ReaNVz/x34f5fQmD5ccl9w==&mp=xI6rAeQkygTAn3Z625IGLg==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Barang Pecah Belah ,Barang Pecah Belah ,"86,5",468,1,2014,?pm=tm8Bpge79tjKJflLvM6zqQ==&mp=xI6rAeQkygTAn3Z625IGLg==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 N & A Cell,Toko,95,400,3,2013,?pm=dhLuYSo7ohi500oiebSBTQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Stiker Ringroad,Toko,8,75,1,2013,?pm=kLoHS48V5/LgHFalXDuEoA==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Vintage Shop,Toko,191,300,1,2013,?pm=+MfQFxc6779nfQePtBEGUQ==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Kue Anggun,Toko Kue,62,468,2,2010,?pm=jspZXFS04zhe+lRuIdGndQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Gladia Busana,Toko Pakaian,40,325,1,2010,?pm=u4T4SDnYIU7nwjHVgRfyfA==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Fuja Mulia Jaya Service,Service Power Window,29,144,1,2010,?pm=vReCyj5kmg5dTceYmJVuqg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Jamu Sala Guri,Toko Jamu,30,"159,9",1,2010,?pm=/UOwuVBA+PUN5EeSe12qow==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Murniati,Toko Sembako,142.850.000,21.800.000,1,2013,?pm=SfMeXy+Ystoe7XLEPMRJyA==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Sinar Mulia,Toko Pakaian,31,"187,2",1,2010,?pm=U/RRicSgKBdBsOzCmZyqiQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Sepatu Ani Shoes,Toko Sepatu,52,624,1,2010,?pm=tm8jewyCYgXZwi++v18K1Q==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Cris Jaya Oil,"Tambal Dan Oil, Sparepart Motor",61,162,1,2010,?pm=n8qxsduI8wHZ5R18k5mCdg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Magots Cell Dan Juice,Warung Pulsa,27,128,3,2010,?pm=Eq4By/ZCtiy3KrMTTVUKTg==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Suplier Sandal,Suplier,13,390,2,2013,?pm=M40PiS9MQd6jfxVQyFdsgw==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Puspa,Toko,6,6,1,2013,?pm=0TmjxeT29yYq/12t5vivww==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Bayu,Toko,8,6,1,2013,?pm=i4nELZ4wTb6dC//TvYt7PA==&mp=fOhzApotY5QnAtxxXvjAfA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 UD. ELI,TOKO SEMBAKO,"560,27",288,1,2011,?pm=XUGuLFLTMHSuAlslbIauiQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Buah Jaya,Penjualan Buah,"220,5",140,5,2011,?pm=DgUOgXFqmN039LGg/Ns2fw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Buah-buahan,Buah-buahan,"26,5",76,4,2011,?pm=L0RLnRSWVCSut2yoo+2qVA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Saiful,Mainan Anak,311,"26,6",1,2011,?pm=XYqGxBDYentgMIJxnqpDwQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Tujuh Cell,Jual Pulsa,3,30,1,2011,?pm=bcOD3XHqoaVYUguBlV+yOg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Kelontong Dan Keripik Pisang,Warung Manisan Dan Kripik,31,36,2,2011,?pm=V7cckFQYmv7Vq8ap7PAFlA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Manisan,Warung Manisan,19,36,1,2011,?pm=utB92bNzZIIT0r9sA6NT1A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Gunawan,Kelontongan,66,540,1,2011,?pm=h2GszzA6r5OdRpJtzG/qiQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Konah,Dagang Kelontonngan,"24,6",135,1,2011,?pm=qHE8JJtfYp4naE6iIEpYXg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Udang Kis / Beku,Udang Kis/beku,154,220,1,2012,?pm=M5IdSRZ8tD991pVWvcAZxg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Bengkel Sederhana ,"Bengkel Las, Service Mesin",11,29,1,2012,?pm=kLTZAX5xSEfnbT43Y6k4ew==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Manisan,Dagang,"9,5",24,1,2011,?pm=lbo2+2EwisP88bRT5WEY4Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Kios Sepatu Purwono,Dagang Sepatu,"8,3",240,1,2011,?pm=y8Xxf1QXWjriAuzsyBs3tg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Manisan Mutiara,Warung Manisan,15,72,2,2011,?pm=HNgBXb9BKZA+gU5s3TDPvw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Akbar,Kelontongan,11,171,1,2011,?pm=Yuxc8ilZ4TMdjz47OITueA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Mb Nur,Kelontongan,45,288,1,2011,?pm=JxjWzZ7ypBR4wTrny4QtVg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
" Sate Bebek "" Putra Daimah""",Sate Bebek,112,148,3,2009,?pm=BqbeNxxi4JJgto8XvA8rzA==&mp=2BbfzMJpZb2nANZ3GT30ng==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
" Soto Ayam "" Pak Parmin""",Soto Ayam,39,64,3,2009,?pm=RPurAQiaERodHbqDkfsu+A==&mp=2BbfzMJpZb2nANZ3GT30ng==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 UD Jein Collection,Penjualan Baju,"64,3",40,4,2014,?pm=Vei05zy4PQ0jQ4380WurZw==&mp=xI6rAeQkygTAn3Z625IGLg==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Kios Santoso,Kios,164,285,1,2012,?pm=pHL5AhrvxLa7mg/FywXCjw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 UD. Jaya Rizky,Pupuk Dan Obat-obatan Pertanian,210,393,2,2012,?pm=f1SnKLrMbO3EMAPLD1/8Zg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 UD. Siem Baru,Penjualan Snack,124,321,1,2012,?pm=nELiBSdrkzKqVfMkGrjusA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Mawar,Penjualan Sembako,117,107,1,2012,?pm=5Y47/ncnepAxp8X2kS8GUQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Manisan Indi,Dagang Makanan,"7,5",18,2,2011,?pm=TtDnazc4N2iXKbNprMKQ5w==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Valen,Warung,"21,5",48,2,2011,?pm=kLNowNykvVDzDHj6pm865w==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Warung Kartika,Warung Kelontong,13,54,1,2011,?pm=YNyiQ2LPCN9n/TszrqQ/4A==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
