Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Toko SMS,"Kostum Olahraga, Alat Olahraga",722,185,2,2012,?pm=+dnkBJjtZRw3gQK9HblQKw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Toko Obat Buana Belawa,Jual Obat-obatan,480,249,2,2012,?pm=LUhZ/ZvW4M2m+O0qETpFIA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Star Motor,Bengkel Motor,546,60,1,2012,?pm=FKrMrf1fPlbyzb1GEuMeGA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Bengkel Nuri Jaya,Bengkel Mobil,959,345,2,2012,?pm=ocRUQ7up7WlbAhMCH/vxsA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Akmal Cell,Counter,162,48,1,2012,?pm=JNKZwd6SwSVlMb+jjJ/+Ng==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 Kios Wahyu,Kios,716,228,2,2012,?pm=ChERsdwxBFL1NMptjJ0WTQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 KING GORDEN ,GORDEN ,"2.950,18",5.100,6,2011,?pm=EJGOnbQQaxjkxaYhFr3UVg==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 KEDAI SIRAIT,KEDAI SAMPAH,"86,99","171,1",1,2011,?pm=s7fO6v09RphtVi0WMpmRvw==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 ATENG RADIATOR,PERBAIKAN RADIATOR,"37,61",37,1,2011,?pm=FbEjIKeoGpjP8Uaym4o8XA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
 UD. Matuari,Dagang Sembako,745,900,7,2008,?pm=6NjHjM74rnyC6x1LvsoiDg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor
