Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Pangkalan Lpg 3 Kg Mas Udi,Agen Gas Lpg,"38,8","19,2",1,2014,?pm=F36TuyG3nePzM9LC3xMzzw==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pengadaan Listrik, Gas, Uap Air Panas dan Udara Dingin"
 Banyu Bening,Isi Ulang Air,"66,5","34,2",2,2013,?pm=9txaT3Ar/Ra1cODmPa3/XQ==&mp=fOhzApotY5QnAtxxXvjAfA==,"Pengadaan Listrik, Gas, Uap Air Panas dan Udara Dingin"
 Toko Sia,Penjualan Gas Elpiji,21,48,2,2014,?pm=8quzVDF+A/T60Ac0L5MDfQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pengadaan Listrik, Gas, Uap Air Panas dan Udara Dingin"
 Tabung Gas Karil Ramadani,Lpg Tabung,12,"49,92",2,2014,?pm=kCcsNadTiHBVOX8yIXD10w==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pengadaan Listrik, Gas, Uap Air Panas dan Udara Dingin"
 Niaga Electronik,Alat Alat Elektronik,"16,5",36,3,2014,?pm=/2xNRomB62g3CjHrJQh4HQ==&mp=xI6rAeQkygTAn3Z625IGLg==,"Pengadaan Listrik, Gas, Uap Air Panas dan Udara Dingin"
